job_title,company_name,job_location,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date
Customer Engineer (Muara Bungo),PT Kinarya Alihdaya Mandiri,"Bungo Dani, Bungo, Jambi",Kerja di kantor,"Rp4,2jt-Rp6jt","experience,salary,logo,Hardware Engineering,Troubleshooting,Software Engineering",https://glints.com/id/opportunities/jobs/customer-engineer-muara-bungo/dc807e9e-310d-417d-8ce1-7942de5047af?utm_referrer=explore,dc807e9e-310d-417d-8ce1-7942de5047af,full_time,Kerja di kantor,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Hardware Development,Automation Engineer,4/3/2024
Customer Engineer (Lahat),PT Kinarya Alihdaya Mandiri,"Kotolahat, Lahat, Sumatera Selatan",Kerja di kantor,"Rp4,2jt-Rp6jt","experience,salary,logo,Troubleshooting,Software Engineering,Hardware Engineering",https://glints.com/id/opportunities/jobs/customer-engineer-lahat/1cd9ec21-66d4-447d-95b2-1081577db9c8?utm_referrer=explore,1cd9ec21-66d4-447d-95b2-1081577db9c8,full_time,Kerja di kantor,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Hardware Development,Automation Engineer,4/3/2024
Java Developer,Qode World,"Menteng, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp7jt-Rp10jt,"experience,salary,logo,Spring Framework,J2EE,Apache,Java",https://glints.com/id/opportunities/jobs/java-developer/3ba8f101-6f9a-49b4-a839-6fb9c185352b?utm_referrer=explore,3ba8f101-6f9a-49b4-a839-6fb9c185352b,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Backend Development,Java Developer,4/3/2024
Quality Assurance Internship,PT. Folarium Innotek Indonesia,"Jagakarsa, Jakarta Selatan, DKI Jakarta",Kerja di kantor,"Rp600rb-Rp1,6jt","experience,salary,logo,Software Quality Assurance,Software Testing,Usability Testing",https://glints.com/id/opportunities/jobs/quality-assurance-internship/dfe54c23-ba7d-4613-ac19-21b2fbe50ca1?utm_referrer=explore,dfe54c23-ba7d-4613-ac19-21b2fbe50ca1,internship,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,QA & Software Testing,Quality Assurance,4/3/2024
Programmer Web & Aplikasi,PT Bedev Development Technology,"Denpasar Utara, Denpasar, Bali",Kerja di kantor,Rp2jt-Rp4jt,"experience,salary,logo,Programming Languages,Attention to Detail,Laravel,Positive Attitude",https://glints.com/id/opportunities/jobs/programmer-web-and-aplikasi/0659fba8-592e-4d34-99d3-e33629ff6c03?utm_referrer=explore,0659fba8-592e-4d34-99d3-e33629ff6c03,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Software,Programmer,4/3/2024
Senior Java Springboot Programmer,Inotal Sistema International,"Gambir, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp12jt-Rp20jt,"experience,salary,logo,Eclipse Ide,Spring Boot,Spring Framework,Java,Apache",https://glints.com/id/opportunities/jobs/senior-java-springboot-programmer/ba9a85af-0115-4e44-9583-17b49e8ac631?utm_referrer=explore,ba9a85af-0115-4e44-9583-17b49e8ac631,contract,Kerja di kantor,3 – 5 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Java Developer,4/3/2024
AI DevOps Engineer,Madebyhumans,"Kembangan, Jakarta Barat, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,Kubernetes,Google Cloud Platform,Node.js,Amazon Web Services (AWS)",https://glints.com/id/opportunities/jobs/ai-devops-engineer/4ce36c55-339c-4396-bdc6-09281d93535e?utm_referrer=explore,4ce36c55-339c-4396-bdc6-09281d93535e,full_time,Remote/Dari rumah,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Devops Engineer,4/3/2024
AI Engineer (LLM & Stable Diffusion),Madebyhumans,"Kembangan, Jakarta Barat, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,Python,Node.js,JavaScript",https://glints.com/id/opportunities/jobs/ai-engineer-llm-and-stable-diffusion/c17d9e79-b742-423d-972d-291d9b410381?utm_referrer=explore,c17d9e79-b742-423d-972d-291d9b410381,full_time,Remote/Dari rumah,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Artificial Intelligence,AI Engineer,4/3/2024
BT Application Developer,SOHO Global Health,"Pulogadung, Jakarta Timur, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,PL/SQL,Information Systems,Business Intelligence,Programming Languages,CSS3,JavaScript,Microsoft SQL Server,Software Engineering,ERP Software",https://glints.com/id/opportunities/jobs/bt-application-developer/bd1e68b0-d43e-451b-91a0-bf0e9aec453f?utm_referrer=explore,bd1e68b0-d43e-451b-91a0-bf0e9aec453f,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,BT Application Developer,4/3/2024
Implementor / Consultant Analyst,PT PRIMA SOLUSI COMPUTINDO,"Tanjung Priok, Jakarta Utara, DKI Jakarta",Kerja di kantor,"Rp4,5jt-Rp5,5jt","experience,salary,logo,SQL,Microsoft Office,System Analysis,Figma",https://glints.com/id/opportunities/jobs/implementor-consultant-analyst/5375c980-87a8-4caf-bc7a-e16c1aba5930?utm_referrer=explore,5375c980-87a8-4caf-bc7a-e16c1aba5930,full_time,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,"Network, System & Database Admin",System Analyst,4/3/2024
Security Analyst & Project Manager,PT Gerbang Sinergi Prima,"Menteng, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Communication Skills,Network Security,IT Security",https://glints.com/id/opportunities/jobs/security-analyst-and-project-manager/16e199d0-fa15-489e-a86b-a6f70fd2e0db?utm_referrer=explore,16e199d0-fa15-489e-a86b-a6f70fd2e0db,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Cyber Security,Security Analyst,4/3/2024
Engineer Security Operation Center & Threat Intellegence Analyst,PT Gerbang Sinergi Prima,"Menteng, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Information Security,Communication Skills,IT Security",https://glints.com/id/opportunities/jobs/engineer-security-operation-center-and-threat-intellegence-analyst/297a7cda-c78c-40f8-ba0d-ad7c93211f10?utm_referrer=explore,297a7cda-c78c-40f8-ba0d-ad7c93211f10,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Cyber Security,SOC Analyst,4/3/2024
Backend Engineer (Internship),Nodewave Indonesia,"Kebon Jeruk, Jakarta Barat, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,MySQL,Back-End Web Development,API Development",https://glints.com/id/opportunities/jobs/backend-engineer-internship/38772e84-0a72-4084-804c-05dfa1975f24?utm_referrer=explore,38772e84-0a72-4084-804c-05dfa1975f24,internship,Remote/Dari rumah,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Backend Development,Backend Developer,4/3/2024
Web Developer,Bisnis Integrasi Global,"Kebon Jeruk, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,PostgreSQL,PHP,MySQL",https://glints.com/id/opportunities/jobs/web-developer/7e67bf61-e414-44f1-ae6f-e08b6fcc7008?utm_referrer=explore,7e67bf61-e414-44f1-ae6f-e08b6fcc7008,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Web Developer,4/3/2024
Web Developer,PT. Inovasi Mitra Sejati,"Pinang, Tangerang, Banten",Kerja di kantor,"Rp4,5jt-Rp4,6jt","experience,salary,logo,Web Analytics,Web Development,Positive Attitude,Website Management",https://glints.com/id/opportunities/jobs/web-developer/5a4cf0ad-9711-4430-8e0d-acc32d25077e?utm_referrer=explore,5a4cf0ad-9711-4430-8e0d-acc32d25077e,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Web Developer,4/3/2024
Engineer,PT. Kaja Sarana Inovasi (Pro Worker),"Tanjung Priok, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Problem Solving Skills,Teamwork,English Languange",https://glints.com/id/opportunities/jobs/engineer/bce6aed0-6b9a-4227-b14b-9b0766dad8cc?utm_referrer=explore,bce6aed0-6b9a-4227-b14b-9b0766dad8cc,contract,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Electronic & Semiconductor,Electrical Engineer,4/3/2024
Staff IT,PT. Wanindo Prima,"Kalideres, Jakarta Barat, DKI Jakarta",Kerja di kantor,Rp4jt-Rp6jt,"experience,salary,logo,PHP,SQL,Microsoft SQL Server",https://glints.com/id/opportunities/jobs/staff-it/9f713da0-5475-43f5-b239-1cbe236241d6?utm_referrer=explore,9f713da0-5475-43f5-b239-1cbe236241d6,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff,4/3/2024
Quality Assurance Intern,Hyppe Indonesia,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,"Rp1,5jt-Rp2jt","experience,salary,logo,SDLC,Software Quality Assurance,Microsoft Office",https://glints.com/id/opportunities/jobs/quality-assurance-intern/23e65487-d2fe-4e8d-a54d-5aa280dd0a85?utm_referrer=explore,23e65487-d2fe-4e8d-a54d-5aa280dd0a85,internship,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,QA & Software Testing,QA Tester,4/3/2024
Developer Python,Kreasi Dua Konsep (2Konzept),"Senen, Jakarta Pusat, DKI Jakarta",Kerja di kantor,"Rp5,5jt-Rp7jt","experience,salary,logo,Oracle Database,Python,Robot Framework",https://glints.com/id/opportunities/jobs/developer-python/beb984aa-1a47-4761-a00d-0f2893632fb8?utm_referrer=explore,beb984aa-1a47-4761-a00d-0f2893632fb8,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Python Developer,4/3/2024
Lead Security Operation Center,PT Gerbang Sinergi Prima,"Menteng, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,IT Security,Information Technology,Information Systems",https://glints.com/id/opportunities/jobs/lead-security-operation-center/debad1db-0524-4853-a860-db2ef432d26a?utm_referrer=explore,debad1db-0524-4853-a860-db2ef432d26a,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Cyber Security,SOC Analyst,4/3/2024
Internship Mobile Kotlin Programer,PT Qtera Mandiri,"Kelapa Gading, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Kotlin,Android Development,Mobile App Development",https://glints.com/id/opportunities/jobs/internship-mobile-kotlin-programer/96ebfce8-d5b3-4d01-85f6-a592450d2573?utm_referrer=explore,96ebfce8-d5b3-4d01-85f6-a592450d2573,internship,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Mobile Development,Kotlin Developer,4/3/2024
