job_title,company_name,job_location,work_place,salary_range,more_detail_link,job_id,work_type,category,sub_category,role
Full-Stack Developer,Pt Vanz Inovatif Teknologi (qbit),"Pancoran, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp10jt-Rp18jt,https://glints.com/id/opportunities/jobs/full-stack-developer/b809583d-446b-4abd-a2b9-06810911da25?utm_referrer=explore,b809583d-446b-4abd-a2b9-06810911da25,contract,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Staff IT Project,Aero Globe Indonesia (Garuda Indonesia Group),"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/staff-it-project/3f4973d6-a919-4000-8ae4-44be323b3124?utm_referrer=explore,3f4973d6-a919-4000-8ae4-44be323b3124,internship,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
TEAM LEAD CYBER SECURITY,Noosc,"Menteng, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp6jt-Rp8jt,https://glints.com/id/opportunities/jobs/team-lead-cyber-security/b65f7742-7766-4116-a3fc-be1b9edb2f02?utm_referrer=explore,b65f7742-7766-4116-a3fc-be1b9edb2f02,full_time,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Information Technology Security Analyst,Noosc,"Menteng, Jakarta Pusat, DKI Jakarta",Kerja di kantor,"Rp5,5jt-Rp8jt",https://glints.com/id/opportunities/jobs/information-technology-security-analyst/80cc68ae-bb04-4b96-887d-aad91c05ddff?utm_referrer=explore,80cc68ae-bb04-4b96-887d-aad91c05ddff,full_time,Computer & Information Technology,"Operation, Maintenance & Technical Support",Cyber Security
Fullstack Developer,PT Digital Netwerk Venture Indonesia,"Blimbing, Malang, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/fullstack-developer/c777ece5-c373-4999-ba08-e858a9718313?utm_referrer=explore,c777ece5-c373-4999-ba08-e858a9718313,full_time,Computer & Information Technology,Software,Developer
SOC 24/7,Noosc,"Menteng, Jakarta Pusat, DKI Jakarta",Kerja di kantor,"Rp5jt-Rp6,7jt",https://glints.com/id/opportunities/jobs/soc-24-7/8b936f84-ba7b-4505-a460-b97e627df7a8?utm_referrer=explore,8b936f84-ba7b-4505-a460-b97e627df7a8,full_time,Computer & Information Technology,"Operation, Maintenance & Technical Support",Cyber Security
Data Analyst,PT. Digital Elektronik Ekosistem (Retaily Asia),"Pancoran, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/data-analyst/8face22d-aac2-427e-b758-07fbb8324d4d?utm_referrer=explore,8face22d-aac2-427e-b758-07fbb8324d4d,full_time,Computer & Information Technology,Data,Data Analyst
Administrator,Lash Babe,"Kuta Utara, Badung, Bali",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/administrator/720d2407-f1b9-4ec4-b43c-8c7a88973ddb?utm_referrer=explore,720d2407-f1b9-4ec4-b43c-8c7a88973ddb,full_time,Computer & Information Technology,"Network, System & Database Admin",Database Administrator
Backend Developer Staff,Pt Ada Ide Langsung Jalan,"Lowokwaru, Malang, Jawa Timur",Kerja di kantor,"Rp4,2jt-Rp4,8jt",https://glints.com/id/opportunities/jobs/backend-developer-staff/5ad637cd-c0ba-4bce-aa3f-56d0637882b6?utm_referrer=explore,5ad637cd-c0ba-4bce-aa3f-56d0637882b6,full_time,Computer & Information Technology,Backend Development,Backend Developer
Frontend Engineer Staff,Pt Ada Ide Langsung Jalan,"Lowokwaru, Malang, Jawa Timur",Kerja di kantor,"Rp4,2jt-Rp4,8jt",https://glints.com/id/opportunities/jobs/frontend-engineer-staff/5a7f8ae2-0d45-43cd-8b6e-a09d96c0db40?utm_referrer=explore,5a7f8ae2-0d45-43cd-8b6e-a09d96c0db40,full_time,Computer & Information Technology,Frontend Development,Frontend Engineer
Teknisi Komputer,SMK Informatika Bina Generasi,"Tamansari, Bogor, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/teknisi-komputer/eca7320a-c147-48e5-ba0e-48f2536ba752?utm_referrer=explore,eca7320a-c147-48e5-ba0e-48f2536ba752,full_time,Computer & Information Technology,Electronic & Semiconductor,Electronics Engineer
Tata Usaha,SMK Informatika Bina Generasi,"Tamansari, Bogor, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/tata-usaha/711b3568-1a8a-415f-9a55-a11f5fd01d80?utm_referrer=explore,711b3568-1a8a-415f-9a55-a11f5fd01d80,full_time,Computer & Information Technology,"Network, System & Database Admin",System Administrator
Data Engineer junior,PT 360 Teknologi Indonesia,"Tanjung Priok, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/data-engineer-junior/176ae1f0-defd-4c68-9487-92e85f1af6d1?utm_referrer=explore,176ae1f0-defd-4c68-9487-92e85f1af6d1,contract,Computer & Information Technology,Data,Data Engineer
Laravel Developer,PT Geek portal indonesia,"Pancoran, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/laravel-developer/dc9b76cd-6578-4db6-8ca7-bc8ecee899a2?utm_referrer=explore,dc9b76cd-6578-4db6-8ca7-bc8ecee899a2,full_time,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Senior Staff IT Java,Kreasi Dua Konsep (2Konzept),"Gambir, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp6jt-Rp10jt,https://glints.com/id/opportunities/jobs/senior-staff-it-java/c3c8036f-8fc9-4c84-b422-766c48402bc8?utm_referrer=explore,c3c8036f-8fc9-4c84-b422-766c48402bc8,full_time,Computer & Information Technology,Backend Development,Java Developer
Data Engineer,PT 360 Teknologi Indonesia,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp100rb-Rp14jt,https://glints.com/id/opportunities/jobs/data-engineer/442403f2-3426-4a86-9786-ca3061902183?utm_referrer=explore,442403f2-3426-4a86-9786-ca3061902183,full_time,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Quality Assurance,ITOMMEY Bintang Indonesia,"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/quality-assurance/bf5e8959-38c4-4851-8b27-f94fe9b50474?utm_referrer=explore,bf5e8959-38c4-4851-8b27-f94fe9b50474,full_time,Computer & Information Technology,QA & Software Testing,QA Tester
iOS Developer,PT Esco Bintan Indonesia,"Serpong, Tangerang Selatan, Banten",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/ios-developer/c333a7fa-9a78-434b-ae66-d843afd77af8?utm_referrer=explore,c333a7fa-9a78-434b-ae66-d843afd77af8,full_time,Computer & Information Technology,Mobile Development,iOS Developer
Tibco Engineer,PT. Fortech Indotama,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/tibco-engineer/fde6e592-152e-4fdf-aad3-0bf8a0f72983?utm_referrer=explore,fde6e592-152e-4fdf-aad3-0bf8a0f72983,full_time,Computer & Information Technology,Data,Data Engineer
