job_title,company_name,job_location,work_place,salary_range,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role
IT Project Ops,PT Stampindo Lancar Jaya,"Kembangan, Jakarta Barat, DKI Jakarta",Kerja di kantor,Rp5jt-Rp7jt,https://glints.com/id/opportunities/jobs/it-project-ops/40df2354-87cf-490d-90b7-00271c7dba9e?utm_referrer=explore,40df2354-87cf-490d-90b7-00271c7dba9e,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Operation & Maintenance Engineer
Back End Developer,PT Rect Media Komputindo,"Semarang Tengah, Semarang, Jawa Tengah",Kerja di kantor,Rp3jt-Rp5jt,https://glints.com/id/opportunities/jobs/back-end-developer/fbcc6efd-3e92-47c8-848b-28fd57ee1478?utm_referrer=explore,fbcc6efd-3e92-47c8-848b-28fd57ee1478,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Backend Development,Backend Developer
Teknisi Elektronik,PT Unicom Harbura Jaya Makmur,"Kemayoran, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/teknisi-elektronik/1e9f1be9-9ec7-4a5c-ae96-972dfdf63ab6?utm_referrer=explore,1e9f1be9-9ec7-4a5c-ae96-972dfdf63ab6,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Electronic & Semiconductor,Electronics Engineer
Teknisi Handphone,PT Unicom Harbura Jaya Makmur,"Kemayoran, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/teknisi-handphone/301375b6-8565-46d0-8bc7-16ebb9535994?utm_referrer=explore,301375b6-8565-46d0-8bc7-16ebb9535994,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Electronic & Semiconductor,Electronics Engineer
Software Quality Assurance (QA),Pt Rpay Finansial Digital Indonesia,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/software-quality-assurance-qa/42c7325f-9e11-496a-9ea5-5ec71d9fdd72?utm_referrer=explore,42c7325f-9e11-496a-9ea5-5ec71d9fdd72,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,QA & Software Testing,QA Tester
Engineering (Drafter & Program Mesin),PT. Dharma Putra Sejahtera Abadi,"Kapanewon Depok, Sleman, DI Yogyakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/engineering-drafter-and-program-mesin/73a5b167-fcbe-42e8-b2a9-d17c859feaea?utm_referrer=explore,73a5b167-fcbe-42e8-b2a9-d17c859feaea,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Software,Software Engineer
PHP Developer,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/php-developer/20761eb7-e51a-424b-8a93-6f5401fe80ba?utm_referrer=explore,20761eb7-e51a-424b-8a93-6f5401fe80ba,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Backend Development,Backend Developer
Technical Writer Intern,Evermos (PT Setiap Hari Dipakai),"Coblong, Bandung, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/technical-writer-intern/0d538585-f7c1-4610-a1f3-9bfc60adc112?utm_referrer=explore,0d538585-f7c1-4610-a1f3-9bfc60adc112,internship,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Other Computer & Information Technology,Other Technical Positions
IT Cyber Engineer,Lawencon International,"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp8jt-Rp15jt,https://glints.com/id/opportunities/jobs/it-cyber-engineer/6f0f1d2a-cfcd-4f67-bfbb-d4f22f047f47?utm_referrer=explore,6f0f1d2a-cfcd-4f67-bfbb-d4f22f047f47,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Security Engineer
Admin Media Sosial,KINGDOM STATIONERY,"Denpasar Barat, Denpasar, Bali",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/admin-media-sosial/e5bba720-bf29-4c2c-8a4b-587a1721ae03?utm_referrer=explore,e5bba720-bf29-4c2c-8a4b-587a1721ae03,part_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,"Network, System & Database Admin",Network Administrator
Web Developer Lecturer - JKT,Purwadhika Digital Technology School,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/web-developer-lecturer-jkt/4ee3bd04-d2b0-496b-a978-ac0ead2e787c?utm_referrer=explore,4ee3bd04-d2b0-496b-a978-ac0ead2e787c,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Web Developer
EPM Applications Developer,Dot Indonesia,"Cilandak, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/epm-applications-developer/ce8a80b2-1f2b-40e6-9b33-f57e0cf27bff?utm_referrer=explore,ce8a80b2-1f2b-40e6-9b33-f57e0cf27bff,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Devops Engineer
IT Bootcamp Jakarta Batch 17,Pt Enigma Camp,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-bootcamp-jakarta-batch-17/35d250c7-d744-461c-aff6-ffb7f783f86f?utm_referrer=explore,35d250c7-d744-461c-aff6-ffb7f783f86f,full_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Software,Software Engineer
ERP Developer,Superteam Consultant,"Sukajadi, Bandung, Jawa Barat",Kerja di kantor,Rp6jt-Rp9jt,https://glints.com/id/opportunities/jobs/erp-developer/327ef61d-e04b-4d5e-bd42-68116831bdc9?utm_referrer=explore,327ef61d-e04b-4d5e-bd42-68116831bdc9,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
IT Bootcamp Cabang Malang Batch 3,Pt Enigma Camp,"Lowokwaru, Malang, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-bootcamp-cabang-malang-batch-3/b66876d7-80be-4cd8-9e36-450e15d5ff05?utm_referrer=explore,b66876d7-80be-4cd8-9e36-450e15d5ff05,full_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Software,Software Engineer
IT Security Operation,Qode World,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-security-operation/854b311f-56b0-436b-8d45-71f4ebf588ef?utm_referrer=explore,854b311f-56b0-436b-8d45-71f4ebf588ef,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",System Security
Experience IT EDC Android Developer,PCS Payment,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,"Rp6,5jt-Rp9,5jt",https://glints.com/id/opportunities/jobs/experience-it-edc-android-developer/d71afe9e-cdbc-4eae-8e45-eab093105b49?utm_referrer=explore,d71afe9e-cdbc-4eae-8e45-eab093105b49,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Mobile Development,Android Developer
Programmer Project Based,PT. David Roy Indonesia,"Kalideres, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/programmer-project-based/46f2b84c-fa9d-403d-8ff3-3cfd16d91580?utm_referrer=explore,46f2b84c-fa9d-403d-8ff3-3cfd16d91580,contract,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Programmer
IT Frontend & Backend Developer,PT Lobunta Kencana Raya,"Sawah Besar, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-frontend-and-backend-developer/92139ff9-a5bc-49aa-a319-398def61398d?utm_referrer=explore,92139ff9-a5bc-49aa-a319-398def61398d,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Web Developer
Technical Support SOLO,HSP Net,"Banjarsari, Surakarta, Jawa Tengah",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/technical-support-solo/c8f3a65f-9815-475b-b95b-82ebf16b161f?utm_referrer=explore,c8f3a65f-9815-475b-b95b-82ebf16b161f,contract,Remote/Dari rumah,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Telecommunication,Wireless & RF Communication Engineer
Full Stack Engineer,PT Lobunta Kencana Raya,"Sawah Besar, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/full-stack-engineer/9385e6e1-f089-41ed-8e08-da97fabb2d86?utm_referrer=explore,9385e6e1-f089-41ed-8e08-da97fabb2d86,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Full Stack Engineer
Teknisi Timbangan,PT Karya Gemilang Utama,"Bekasi Utara, Bekasi, Jawa Barat",Kerja di kantor,Rp3jt-Rp4jt,https://glints.com/id/opportunities/jobs/teknisi-timbangan/e31052d2-f4b0-4678-840b-0924be4a7642?utm_referrer=explore,e31052d2-f4b0-4678-840b-0924be4a7642,full_time,Kerja di kantor,3 – 5 tahun,Minimal SMA/SMK,Computer & Information Technology,Electronic & Semiconductor,Electrical Engineer
Services Desk Officer,PT. HGT Services Indonesia,"Cengkareng, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/services-desk-officer/d366a011-59be-4196-9c1b-ad0d9f681eb8?utm_referrer=explore,d366a011-59be-4196-9c1b-ad0d9f681eb8,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
QA Tester,PT. Kreatifitas Sinergisme Teknoindo,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/qa-tester/b899c8a3-7e02-406e-b37a-111d860160cd?utm_referrer=explore,b899c8a3-7e02-406e-b37a-111d860160cd,contract,Remote/Dari rumah,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,QA & Software Testing,QA Tester
Full Stack IT Developer (Jatake),PT Hasura Mitra Gemilang,"Cikupa, Tangerang, Banten",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/full-stack-it-developer-jatake/a9c2604c-e88e-44c5-b855-b5546350cb80?utm_referrer=explore,a9c2604c-e88e-44c5-b855-b5546350cb80,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Full Stack Engineer
Information Technologt ( IT ),PT SIGMA UTAMA,"Citeureup, Bogor, Jawa Barat",Kerja di kantor,Rp4jt-Rp6jt,https://glints.com/id/opportunities/jobs/information-technologt-it/f55a5464-44fd-48fc-be98-9b158c7d487e?utm_referrer=explore,f55a5464-44fd-48fc-be98-9b158c7d487e,full_time,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer
Backend Engineer,PT Mata Langit Solusindo,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/backend-engineer/23cfa748-df2c-4a28-a5a2-baa7d0b91bc7?utm_referrer=explore,23cfa748-df2c-4a28-a5a2-baa7d0b91bc7,full_time,Remote/Dari rumah,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Backend Development,Backend Developer
Flutter,Pt Bionic Teknologi Indonesia,"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/flutter/da8350f4-2a5f-4509-ba2a-40876e4ff7c9?utm_referrer=explore,da8350f4-2a5f-4509-ba2a-40876e4ff7c9,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Software,Developer
Frontend Developer - Vue Js,Mumtaz Teknologi Indonesia,"Kramatjati, Jakarta Timur, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/frontend-developer-vue-js/4694a7c5-c82d-4e66-9b4f-6282172c66f4?utm_referrer=explore,4694a7c5-c82d-4e66-9b4f-6282172c66f4,full_time,Remote/Dari rumah,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Developer
IT Assistant,PT. EASYBOOK TEKNOLOGI INDONESIA,"Krembangan, Surabaya, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-assistant/8e69624e-58a1-492b-a162-f1ce1a8a3beb?utm_referrer=explore,8e69624e-58a1-492b-a162-f1ce1a8a3beb,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
IT Manager,PT. Bukuku Solusi Kreatif,"Kembangan, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-manager/989a7b9e-cf39-4d88-9d01-c75a2c588d02?utm_referrer=explore,989a7b9e-cf39-4d88-9d01-c75a2c588d02,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Developer
Golang Developer,Peluang Kerjaku Bandung,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp6jt-Rp13jt,https://glints.com/id/opportunities/jobs/golang-developer/d3ffaaad-1eb4-4a16-8230-e80c5fa219cd?utm_referrer=explore,d3ffaaad-1eb4-4a16-8230-e80c5fa219cd,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Oracle Developer,Peluang Kerjaku Bandung,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp6jt-Rp13jt,https://glints.com/id/opportunities/jobs/oracle-developer/12fb8552-51eb-442f-b5c4-4f220f9e599a?utm_referrer=explore,12fb8552-51eb-442f-b5c4-4f220f9e599a,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
QA Automation,Kreasi Dua Konsep (2Konzept),"Cilandak, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/qa-automation/05da967b-0c1e-401a-bc94-f03e521ace57?utm_referrer=explore,05da967b-0c1e-401a-bc94-f03e521ace57,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,QA & Software Testing,QA Tester
Site Reliability Engineer,"Appservation Co., Ltd","Kemayoran, Jakarta Pusat, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/site-reliability-engineer/66a2f508-db89-433a-8fee-9de7313b63f7?utm_referrer=explore,66a2f508-db89-433a-8fee-9de7313b63f7,full_time,Remote/Dari rumah,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Site Reliability Engineer
iOS Developer,Ikonsultan Inovatama,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/ios-developer/73674aff-57ad-49ee-a339-80cf3b96a1e2?utm_referrer=explore,73674aff-57ad-49ee-a339-80cf3b96a1e2,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Mobile Development,iOS Developer
AI Engineer (Intern),Madebyhumans,"Kembangan, Jakarta Barat, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/ai-engineer-intern/01f9ccb2-cc07-460c-991c-5858f46c35ce?utm_referrer=explore,01f9ccb2-cc07-460c-991c-5858f46c35ce,internship,Remote/Dari rumah,Minimal Sarjana (S1),JavaScript,Computer & Information Technology,Artificial Intelligence,AI Engineer
Staff IT,Smart Logistics,"Cilincing, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/staff-it/97ac9495-7ed8-434d-bb9c-a55392144504?utm_referrer=explore,97ac9495-7ed8-434d-bb9c-a55392144504,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Business Intelligence Analyst (Power BI),PT 360 Teknologi Indonesia,"Tanjung Priok, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/business-intelligence-analyst-power-bi/8222bb93-780c-41e5-90e4-45f880f9a033?utm_referrer=explore,8222bb93-780c-41e5-90e4-45f880f9a033,contract,Kerja di kantor,Minimal Diploma (D1 - D4),SQL,Computer & Information Technology,Data,Business Intelligence Analyst
iOS Developer - Banking Industry,PT Sigma Global Teknologi,"Pondok Aren, Tangerang Selatan, Banten",Kerja di kantor,Rp10jt-Rp12jt,https://glints.com/id/opportunities/jobs/ios-developer-banking-industry/23b55d6b-60d2-4bae-8252-a873ed86f037?utm_referrer=explore,23b55d6b-60d2-4bae-8252-a873ed86f037,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Mobile Development,iOS Developer
IT Development Manager,PT Ruang Maha Karya,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp10jt-Rp20jt,https://glints.com/id/opportunities/jobs/it-development-manager/1d078edd-07c9-4679-93a6-23a43da0911e?utm_referrer=explore,1d078edd-07c9-4679-93a6-23a43da0911e,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Developer
Android Developer - Banking Industry,PT Sigma Global Teknologi,"Pondok Aren, Tangerang Selatan, Banten",Kerja di kantor,"Rp9,5jt-Rp11jt",https://glints.com/id/opportunities/jobs/android-developer-banking-industry/b751db09-7985-4ae0-ba7c-9cce737cb041?utm_referrer=explore,b751db09-7985-4ae0-ba7c-9cce737cb041,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer
DevOps Specialist,Matcha Talent,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/devops-specialist/a65108aa-2307-4619-b33f-c37410ec48a0?utm_referrer=explore,a65108aa-2307-4619-b33f-c37410ec48a0,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Devops Engineer
Sys Eng & Devs Ops Eng (L2),Id/x Partners,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/sys-eng-and-devs-ops-eng-l2/1c705026-89a0-4dcd-ba01-fec08492cdca?utm_referrer=explore,1c705026-89a0-4dcd-ba01-fec08492cdca,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
Data Center Officer,PT. Apik Media Inovasi,"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/data-center-officer/8a235c2a-b351-44ed-b623-d3f609a0773e?utm_referrer=explore,8a235c2a-b351-44ed-b623-d3f609a0773e,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,"Network, System & Database Admin",System Administrator
Mobile Developer,PT Nuansa Cerah Informasi,"Lengkong, Bandung, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/mobile-developer/e00da9fd-e94a-4530-bf66-bcdfe58a9f2e?utm_referrer=explore,e00da9fd-e94a-4530-bf66-bcdfe58a9f2e,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Mobile Development,Mobile Developer
Backend Developer,PT TechTiera Services Indonesia,"Cilandak, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/backend-developer/b62f16aa-2946-40f3-8d3d-982d00210e9d?utm_referrer=explore,b62f16aa-2946-40f3-8d3d-982d00210e9d,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Backend Development,Backend Developer
Back End Developer,PT Bangunperkasa Adhitamasentra,"Pal Merah, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/back-end-developer/a91f8c38-59b2-4804-afd1-bfae08b42216?utm_referrer=explore,a91f8c38-59b2-4804-afd1-bfae08b42216,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Developer
IT Manager,D'impact Indonesia,"Tugu, Semarang, Jawa Tengah",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-manager/2b50ce1e-a2fd-4809-8750-5a9bbc724840?utm_referrer=explore,2b50ce1e-a2fd-4809-8750-5a9bbc724840,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Senior Technical Position,Technical Manager
Front-End Developer Intern,Zettabyte Pte Ltd,"Kapanewon Depok, Sleman, DI Yogyakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/front-end-developer-intern/8947d535-b8d8-4959-8bfe-79488a47205f?utm_referrer=explore,8947d535-b8d8-4959-8bfe-79488a47205f,internship,Kerja di kantor,Minimal SMA/SMK,Software Development,Computer & Information Technology,Frontend Development,Frontend Engineer
Software Tester,PT. Global Infotech Solutions,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,"Rp3,5jt-Rp4jt",https://glints.com/id/opportunities/jobs/software-tester/a0903b7e-474a-4f14-baa1-d52ebf4aca2b?utm_referrer=explore,a0903b7e-474a-4f14-baa1-d52ebf4aca2b,part_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,QA & Software Testing,QA Tester
Junior Data Engineer,PT. Deptech Digital Indonesia,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/junior-data-engineer/914f77c8-331d-4fce-bbf7-87bca2e43a04?utm_referrer=explore,914f77c8-331d-4fce-bbf7-87bca2e43a04,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Data,Data Engineer
Webflow Developer Intern,Sandikala Studio,"Kuta Utara, Badung, Bali",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/webflow-developer-intern/8cd99d75-8ba4-40ba-b954-a1d685a5dcf0?utm_referrer=explore,8cd99d75-8ba4-40ba-b954-a1d685a5dcf0,internship,Remote/Dari rumah,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Software,Web Developer
System Analyst,PT Prima Vista Solusi,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/system-analyst/25ea0806-10cb-4689-8fb2-3d0f5fcbc13f?utm_referrer=explore,25ea0806-10cb-4689-8fb2-3d0f5fcbc13f,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Network, System & Database Admin",System Analyst
IT Security,PT Prima Vista Solusi,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-security/fe16180e-a5ab-4bda-8d5a-bec8f8fa10ed?utm_referrer=explore,fe16180e-a5ab-4bda-8d5a-bec8f8fa10ed,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",System Security
IT Support Staff,Agata Promar,"Kembangan, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-support-staff/5f1cbcf3-451d-4fa6-a7d0-ca5cd99a5fc0?utm_referrer=explore,5f1cbcf3-451d-4fa6-a7d0-ca5cd99a5fc0,full_time,Kerja di kantor,Minimal SMA/SMK,IT Service Management,Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
IT Business Analyst,PT Mplus Solusi Perdana,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp8jt-Rp12jt,https://glints.com/id/opportunities/jobs/it-business-analyst/a28f867f-c94b-4855-ac0b-783c708f63d5?utm_referrer=explore,a28f867f-c94b-4855-ac0b-783c708f63d5,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Data,Business Intelligence Analyst
Product Data Analyst,PT Adinata Mitra Solusi,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta",Kerja di kantor,"Rp7,5jt-Rp14jt",https://glints.com/id/opportunities/jobs/product-data-analyst/60d0f3b9-fb72-4487-b797-6ae4d22af2e3?utm_referrer=explore,60d0f3b9-fb72-4487-b797-6ae4d22af2e3,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Data,Data Analyst
Web Developer,PT MIS Group,"Bojongloa Kidul, Bandung, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/web-developer/cf687456-85e0-4e49-9e19-ea760aea4ece?utm_referrer=explore,cf687456-85e0-4e49-9e19-ea760aea4ece,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Web Developer
Software Engineer (FRONT-END),Renn Labs,"Matraman, Jakarta Timur, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/software-engineer-front-end/3c586da1-19d8-4afe-bcc6-3f0f6a906bde?utm_referrer=explore,3c586da1-19d8-4afe-bcc6-3f0f6a906bde,full_time,Remote/Dari rumah,5 – 10 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer
Java Developer,PT Reka Cipta Solusi,"Cibeunying Kidul, Bandung, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/java-developer/d1f6206d-9655-4a09-b676-e785dd333aaa?utm_referrer=explore,d1f6206d-9655-4a09-b676-e785dd333aaa,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Backend Development,Java Developer
Fullstack Developer,PT. Amalura Multi Dimensi,"Pulogadung, Jakarta Timur, DKI Jakarta",Kerja di kantor,Rp6jt-Rp10jt,https://glints.com/id/opportunities/jobs/fullstack-developer/72a24e23-930f-45c0-8467-4d58ce7f6c26?utm_referrer=explore,72a24e23-930f-45c0-8467-4d58ce7f6c26,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Developer
Programmer Dot NET,PT. Amalura Multi Dimensi,"Senen, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp7jt-Rp14jt,https://glints.com/id/opportunities/jobs/programmer-dot-net/b07a3209-1068-4e16-a130-21fada4e45f2?utm_referrer=explore,b07a3209-1068-4e16-a130-21fada4e45f2,contract,Kerja di kantor,5 – 10 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Programmer
