job_title,company_name,job_location,work_place,salary_range,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role
Mentor Data Science - AI - UI/UX Design,Startup Campus,"Pulogadung, Jakarta Timur, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/mentor-data-science-ai-ui-ux-design/886f2bf1-e3b1-42ca-8f23-484ba122250f?utm_referrer=explore,886f2bf1-e3b1-42ca-8f23-484ba122250f,part_time,Remote/Dari rumah,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer
ADMIN E-COMMERCE,PT Venus Indo Prima,"Grogol Petamburan, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/admin-e-commerce/76c03c06-cdf0-4ab0-a207-c35b6848cc49?utm_referrer=explore,76c03c06-cdf0-4ab0-a207-c35b6848cc49,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Network, System & Database Admin",System Administrator
Full Stack Engineer,PT Lua Kreatif Teknologi,"Kembangan, Jakarta Barat, DKI Jakarta",Kerja di kantor,Rp4jt-Rp6jt,https://glints.com/id/opportunities/jobs/full-stack-engineer/81968f7a-5413-4459-bda1-4b581ab722f5?utm_referrer=explore,81968f7a-5413-4459-bda1-4b581ab722f5,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Software,Full Stack Engineer
Junior / Middle IT Support,PT Sentuh Digital Teknologi,"Serpong, Tangerang Selatan, Banten",Kerja di kantor,Rp5jt-Rp6jt,https://glints.com/id/opportunities/jobs/junior-middle-it-support/7e265b25-3072-47a0-bc49-a52e057e1e05?utm_referrer=explore,7e265b25-3072-47a0-bc49-a52e057e1e05,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
Senior Frontend Engineer,People Connect,"Klapanunggal, Bogor, Jawa Barat",Kerja di kantor,Rp14jt-Rp18jt,https://glints.com/id/opportunities/jobs/senior-frontend-engineer/edadc49d-d7cf-4f23-9638-22c1631355f0?utm_referrer=explore,edadc49d-d7cf-4f23-9638-22c1631355f0,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer
Fullstack Web Developer,PT Qtasnim Digital Teknologi,"Lawang Kidul, Muara Enim, Sumatera Selatan",Kerja di kantor,Rp6jt-Rp8jt,https://glints.com/id/opportunities/jobs/fullstack-web-developer/e56e746a-7530-4dac-af57-b8d93ca72ad9?utm_referrer=explore,e56e746a-7530-4dac-af57-b8d93ca72ad9,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Programmer
Fullstack Mobile Developer,PT Qtasnim Digital Teknologi,"Lawang Kidul, Muara Enim, Sumatera Selatan",Kerja di kantor,Rp6jt-Rp8jt,https://glints.com/id/opportunities/jobs/fullstack-mobile-developer/97be1e33-1c95-453a-9768-6d2980396c1e?utm_referrer=explore,97be1e33-1c95-453a-9768-6d2980396c1e,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Programmer
Cybersecurity Engineer,Synapsis.id,"Makasar, Jakarta Timur, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/cybersecurity-engineer/edb444d4-e6bc-4261-90fa-d8fe668052c8?utm_referrer=explore,edb444d4-e6bc-4261-90fa-d8fe668052c8,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,"Operation, Maintenance & Technical Support",Security Engineer
Software Development Team Lead,FlexiDev Indonesia,"Babakan Ciparay, Bandung, Jawa Barat",Remote/Dari rumah,Rp17jt-Rp25jt,https://glints.com/id/opportunities/jobs/software-development-team-lead/09543f60-f5a5-4d43-8eae-adff52505644?utm_referrer=explore,09543f60-f5a5-4d43-8eae-adff52505644,full_time,Remote/Dari rumah,5 – 10 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer
Account Manager Assistant  / Virtual Assistant,DeskTeam360.com,"Sukun, Malang, Jawa Timur",Kerja di kantor,"Rp3,8jt-Rp4,5jt",https://glints.com/id/opportunities/jobs/account-manager-assistant-virtual-assistant/4ee3c03b-8041-445d-8da8-8558ffbc51af?utm_referrer=explore,4ee3c03b-8041-445d-8da8-8558ffbc51af,contract,Kerja di kantor,3 – 5 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
Full Stack Developer,PT Mikatasa Agung,"Tenggilis Mejoyo, Surabaya, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/full-stack-developer/e7d2b283-6c21-4417-a0c0-9d5c1bc42af0?utm_referrer=explore,e7d2b283-6c21-4417-a0c0-9d5c1bc42af0,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Full Stack Engineer
Bootcamp Software Developer,PT Qualita Indonesia,"Bekasi Utara, Bekasi, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/bootcamp-software-developer/b11944c2-c04a-4a4d-8a97-e16b3b446145?utm_referrer=explore,b11944c2-c04a-4a4d-8a97-e16b3b446145,full_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Software,Software Developer
Front End Developer (ReactJS),Id/x Partners,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/front-end-developer-reactjs/f430d55c-0e5d-41e3-a1c5-0bb5b52408fc?utm_referrer=explore,f430d55c-0e5d-41e3-a1c5-0bb5b52408fc,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer
Technical Writer Internship,PT Angkasa Defender Indonesia - ASDF.ID,"Kelapa Gading, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/technical-writer-internship/46843160-61a1-4b5e-998e-6410b492a1db?utm_referrer=explore,46843160-61a1-4b5e-998e-6410b492a1db,full_time,Kerja di kantor,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer & Information Technology,"Operation, Maintenance & Technical Support",Technical Document Engineer
Web Programmer,PT Penerbit Erlangga,"Ciracas, Jakarta Timur, DKI Jakarta",Kerja di kantor,"Rp5,1jt-Rp5,1jt",https://glints.com/id/opportunities/jobs/web-programmer/2c6980df-5dbc-44ae-9f20-77a1709eac84?utm_referrer=explore,2c6980df-5dbc-44ae-9f20-77a1709eac84,contract,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Jr Real-Time Support Engineer,Petrolink Services Indonesia,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/jr-real-time-support-engineer/0c3c42b4-bb8d-4417-bb41-1b2989da0f18?utm_referrer=explore,0c3c42b4-bb8d-4417-bb41-1b2989da0f18,contract,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,Data,Data Engineer
Engineering Manager,Kode Inovasi Teknologi (CODR),"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/engineering-manager/739304b5-ed29-4cd8-ac4c-9ac362d27ce1?utm_referrer=explore,739304b5-ed29-4cd8-ac4c-9ac362d27ce1,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Senior Technical Position,Software Engineering Manager
Backend Engineer (Golang),Kode Inovasi Teknologi (CODR),"Setiabudi, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/backend-engineer-golang/53b2e747-5c43-46da-b9e9-522de18897ec?utm_referrer=explore,53b2e747-5c43-46da-b9e9-522de18897ec,full_time,Remote/Dari rumah,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Backend Development,Backend Developer
Staff Operasional,BubbleKlin Laundry,"Johar Baru, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/staff-operasional/1b4487b1-22dc-404e-9eb2-6340440f012e?utm_referrer=explore,1b4487b1-22dc-404e-9eb2-6340440f012e,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,"Operation, Maintenance & Technical Support",Operation & Maintenance Engineer
Teknisi,134 CELL,"Larangan, Tangerang, Banten",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/teknisi/a42cf82a-7f97-484b-9607-d8988356b12d?utm_referrer=explore,a42cf82a-7f97-484b-9607-d8988356b12d,full_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Electronic & Semiconductor,Electronics Engineer
Backend Developer,PT Vodea Dwi Karsa,"Pagedangan, Tangerang, Banten",Kerja di kantor,Rp7jt-Rp9jt,https://glints.com/id/opportunities/jobs/backend-developer/9e04ba62-2284-4dac-a13d-0c2d61e847b4?utm_referrer=explore,9e04ba62-2284-4dac-a13d-0c2d61e847b4,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Backend Development,Backend Developer
Sr IOS Developer,Pt Komunitas Anak Bangsa,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/sr-ios-developer/0f3c4d01-ac39-4fdb-af1c-bdc5ed9467e1?utm_referrer=explore,0f3c4d01-ac39-4fdb-af1c-bdc5ed9467e1,full_time,Kerja di kantor,3 – 5 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Mobile Development,iOS Developer
AI Developer (NLP),Kecilin,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp5jt-Rp9jt,https://glints.com/id/opportunities/jobs/ai-developer-nlp/9ea97eb4-367e-4099-ba8c-bbb6011924cf?utm_referrer=explore,9ea97eb4-367e-4099-ba8c-bbb6011924cf,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Artificial Intelligence,AI Engineer
Engineering,Seminyak Town House Bali,"Kuta, Badung, Bali",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/engineering/f6f0a0c6-dc62-4ba2-9366-9d751f8595c9?utm_referrer=explore,f6f0a0c6-dc62-4ba2-9366-9d751f8595c9,full_time,Kerja di kantor,3 – 5 tahun,Minimal SMA/SMK,Computer & Information Technology,Software,Software Engineer
