,job_title,company_name,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date,district,city,province
398,Application Developer (.NET) Jakarta/Malang,AdIns (Advance Innovations) - PT. Adicipta Inovasi Teknologi,Kerja di kantor,-,"Object-Oriented Programming (OOP),.NET,Software Development,Microsoft SQL Server,Communication Skills",https://glints.com/id/opportunities/jobs/application-developer-net-jakarta-malang/a196cfc8-7095-4fd5-bf1f-64cc1cb3545d?utm_referrer=explore,a196cfc8-7095-4fd5-bf1f-64cc1cb3545d,full_time,onsite,Minimal Sarjana (S1),Object-Oriented Programming (OOP),Computer & Information Technology,Software,Developer,2024-04-29,Kebon Jeruk, Jakarta Barat, DKI Jakarta
399,Fullstack Developer (Placement in Philippines),SkyTech Solutions Inc,Kerja di kantor,-,"Node.js,Angular.js,Java,.NET,REST API",https://glints.com/id/opportunities/jobs/fullstack-developer-placement-in-philippines/b6ff7376-d9b9-44cd-9a9d-e4e8e47c28fa?utm_referrer=explore,b6ff7376-d9b9-44cd-9a9d-e4e8e47c28fa,full_time,onsite,3-5,Sarjana,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff,2024-04-29,Cengkareng, Jakarta Barat, DKI Jakarta
400,Web Developer & Quality Control Specialist,Pt Murni Solusindo Nusantara,Kerja di kantor,-,"Website Management,Web Design,Web Development,Frontend Development,Back-End Web Development,Web Analytics,Responsive Web Design",https://glints.com/id/opportunities/jobs/web-developer-and-quality-control-specialist/1b24858c-1038-4b4d-9adf-5b39891087b8?utm_referrer=explore,1b24858c-1038-4b4d-9adf-5b39891087b8,full_time,onsite,1-3,Sarjana,Computer & Information Technology,Software,Web Developer,2024-04-29,Cengkareng, Jakarta Barat, DKI Jakarta
401,Full Stack Developer,PT Uri Teknologi Indonesia,Kerja di kantor,-,"Python,SQL,Node.js,JavaScript",https://glints.com/id/opportunities/jobs/full-stack-developer/38bbcda6-37a9-477f-a94f-726334bc6f78?utm_referrer=explore,38bbcda6-37a9-477f-a94f-726334bc6f78,full_time,onsite,1-3,Sarjana,Computer & Information Technology,Software,Full Stack Engineer,2024-04-29,Setiabudi, Jakarta Selatan, DKI Jakarta
402,Software Engineer (Python and MacOS Developer),Sanskara Sanjaya Abadi,Kerja di kantor,Rp5jt-Rp7jt,"Python,Swift,macOS",https://glints.com/id/opportunities/jobs/software-engineer-python-and-macos-developer/d897e610-5bff-4905-a76e-d15c397c7ea2?utm_referrer=explore,d897e610-5bff-4905-a76e-d15c397c7ea2,full_time,onsite,1-3,Sarjana,Computer & Information Technology,Software,Software Engineer,2024-04-29,Cilandak, Jakarta Selatan, DKI Jakarta
403,Odoo Developer (Open for All Level),PT Bion Digital Indonesia,Kerja di kantor,Rp5jt-Rp15jt,"Cloud Server,Odoo,Python,Time Management,Erp Customisation Development,SDLC,Software Development,ERP Software,PostgreSQL",https://glints.com/id/opportunities/jobs/odoo-developer-open-for-all-level/191f235c-49d7-4e5d-b395-d950ed07ce39?utm_referrer=explore,191f235c-49d7-4e5d-b395-d950ed07ce39,full_time,onsite,1-3,Sarjana,Computer & Information Technology,Software,Software Developer,2024-04-29,Serpong, Tangerang Selatan, Banten
404,Backend Developer,PT Wira Internasional Teknologi,Kerja di kantor,-,"Mobile App Development,Back-End Web Development,Application Development",https://glints.com/id/opportunities/jobs/backend-developer/5fd4ddca-83c3-4316-820c-7ffb3285957f?utm_referrer=explore,5fd4ddca-83c3-4316-820c-7ffb3285957f,full_time,onsite,<1,SMA/SMK,Computer & Information Technology,Backend Development,Backend Developer,2024-04-29,Cakung, Jakarta Timur, DKI Jakarta
405,iOS Developer - Banking Industry (Full Onsite),PT Sigma Global Teknologi,Kerja di kantor,Rp10jt-Rp13jt,"JavaScript,XML,Microsoft SQL Server,Model-View-Controller (MVC),JSON,Swift,MySQL,iOS Development",https://glints.com/id/opportunities/jobs/ios-developer-banking-industry-full-onsite/aab86982-dd54-44d9-89b6-ba17b447d51f?utm_referrer=explore,aab86982-dd54-44d9-89b6-ba17b447d51f,full_time,onsite,3-5,Sarjana,Computer & Information Technology,Mobile Development,iOS Developer,2024-04-29,Pondok Aren, Tangerang Selatan, Banten
406,Android Developer - Banking Industry (Full Onsite),PT Sigma Global Teknologi,Kerja di kantor,Rp10jt-Rp13jt,"XML,Kotlin,MySQL,JSON,Agile Methodologies,Android Development,Microsoft SQL Server,JavaScript",https://glints.com/id/opportunities/jobs/android-developer-banking-industry-full-onsite/67e6cd41-4b16-457f-baad-5af6c5ec325c?utm_referrer=explore,67e6cd41-4b16-457f-baad-5af6c5ec325c,full_time,onsite,3-5,Sarjana,Computer & Information Technology,Mobile Development,Android Developer,2024-04-29,Pondok Aren, Tangerang Selatan, Banten
407,Full Stack Web Developer (React & Laravel),Gamebit Digital,Kerja di kantor,Rp3jt-Rp5jt,"salary,MySQL,Next.js,JavaScript,Laravel,React.js,PHP",https://glints.com/id/opportunities/jobs/full-stack-web-developer-react-and-laravel/54931fc3-e843-4918-8940-aff6f9786d53?utm_referrer=explore,54931fc3-e843-4918-8940-aff6f9786d53,full_time,onsite,Minimal SMA/SMK,MySQL,Computer & Information Technology,Software,Web Developer,2024-04-29,Bojongloa Kidul, Bandung, Jawa Barat
408,Senior Backend Developer (Java Springboot) - Full Onsite,PT Sigma Global Teknologi,Kerja di kantor,Rp10jt-Rp17jt,"Microsoft SQL Server,Java,Back-End Web Development,Spring Framework",https://glints.com/id/opportunities/jobs/senior-backend-developer-java-springboot-full-onsite/502f3b51-7d80-49b6-949e-89651c027e54?utm_referrer=explore,502f3b51-7d80-49b6-949e-89651c027e54,full_time,onsite,5-10,Sarjana,Computer & Information Technology,"Operation, Maintenance & Technical Support",Operations & Technology Professionals,2024-04-29,Pondok Aren, Tangerang Selatan, Banten
409,Full-Stack Developer (On-Site - South Jakarta),Little Advisors,Kerja di kantor,"Rp4,5jt","CSS3,Java,Express.js,SQL,API Development,React.js,HTML5,Cloud Computing,JavaScript,Sequelize,Website Management,ERP Software,Core Java,Information Systems,Node.js,MySQL,TailwindCSS,Information Technology,Swift,Relational Databases",https://glints.com/id/opportunities/jobs/full-stack-developer-on-site-south-jakarta/45f80ef5-cce2-424b-961b-e9e68b6c8eac?utm_referrer=explore,45f80ef5-cce2-424b-961b-e9e68b6c8eac,full_time,onsite,<1,Sarjana,Computer & Information Technology,Software,Developer,2024-04-29,Setiabudi, Jakarta Selatan, DKI Jakarta
410,Mobile Developer (Android / iOS) for Banking Industry,PT Sigma Global Teknologi,Kerja di kantor,Rp10jt-Rp13jt,"Android Development,iOS Development,Java,Kotlin",https://glints.com/id/opportunities/jobs/mobile-developer-android-ios-for-banking-industry/41fc510f-a781-44d8-8d2b-e1785fae81e4?utm_referrer=explore,41fc510f-a781-44d8-8d2b-e1785fae81e4,contract,onsite,3-5,Sarjana,Computer & Information Technology,Mobile Development,Mobile Developer,2024-04-29,Kebayoran Lama, Jakarta Selatan, DKI Jakarta
411,Backend Developer,PT Air Mas Perkasa,Kerja di kantor,-,"Laravel,Git Flow,JavaScript",https://glints.com/id/opportunities/jobs/backend-developer/1cd7db78-231d-453b-afed-6a7d98f79c95?utm_referrer=explore,1cd7db78-231d-453b-afed-6a7d98f79c95,full_time,onsite,1-3,Sarjana,Computer & Information Technology,Backend Development,Backend Developer,2024-04-29,Taman Sari, Jakarta Barat, DKI Jakarta
412,Odoo Junior Developer,Nibble Softworks,Remote/Dari rumah,"Rp3,5jt-Rp5jt","Teamwork,Web Development,ERP Software",https://glints.com/id/opportunities/jobs/odoo-junior-developer/b7e833e1-42c7-44f8-8a71-72f0a010b4a3?utm_referrer=explore,b7e833e1-42c7-44f8-8a71-72f0a010b4a3,contract,remote,<1,SMA/SMK,Computer & Information Technology,Software,Developer,2024-04-29,Sumur Bandung, Bandung, Jawa Barat
413,Web Developer,PT Prima Vista Solusi,Kerja di kantor,-,"Laravel,React.js,HTML5,CSS3,JavaScript",https://glints.com/id/opportunities/jobs/web-developer/7bf6a27f-10bd-4c28-b914-c43e5c773bdb?utm_referrer=explore,7bf6a27f-10bd-4c28-b914-c43e5c773bdb,full_time,onsite,<1,Sarjana,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff,2024-04-29,Setiabudi, Jakarta Selatan, DKI Jakarta
414,Fullstack Developer (ReactJS & NodeJS/Golang) - Kontrak 3 bulan,PT Sigma Global Teknologi,Kerja di kantor,Rp6jt-Rp8jt,"Go / Golang,React.js,Node.js",https://glints.com/id/opportunities/jobs/fullstack-developer-reactjs-and-nodejs-golang-kontrak-3-bulan/d4f55eca-1f26-4fd6-868b-cc489f07624f?utm_referrer=explore,d4f55eca-1f26-4fd6-868b-cc489f07624f,contract,onsite,1-3,Sarjana,Computer & Information Technology,Software,Developer,2024-04-29,Kebon Jeruk, Jakarta Barat, DKI Jakarta
415,Market Analyst (Palm or Vegetable Oil or Related Value Chain),PT AGPA Refinery Complex,Kerja di kantor,-,"Microsoft Excel,Marketing Strategy,Market Research,Trade Marketing,Data Analytics,Communication Skills",https://glints.com/id/opportunities/jobs/market-analyst-palm-or-vegetable-oil-or-related-value-chain/1e6eb7f7-0b63-4c0c-a786-4e5bd1f75a53?utm_referrer=explore,1e6eb7f7-0b63-4c0c-a786-4e5bd1f75a53,contract,onsite,3-5,Sarjana,"Legal, Consulting & Translation",Consulting,Market Researcher,2024-04-29,Kebayoran Baru, Jakarta Selatan, DKI Jakarta
416,Full-stack Software Developer for AI Chatbot Startup,Botdistrikt,Remote/Dari rumah,Rp12jt-Rp18jt,"Google Cloud Platform,Ruby on Rails,Microservices Architecture,PostgreSQL,Node.js",https://glints.com/id/opportunities/jobs/full-stack-software-developer-for-ai-chatbot-startup/4fc3ecfa-b577-4fc2-9556-ec63b3546dc6?utm_referrer=explore,4fc3ecfa-b577-4fc2-9556-ec63b3546dc6,full_time,remote,3-5,Diploma,Computer & Information Technology,Software,Web Developer,2024-04-29,Denpasar Barat, Denpasar, Bali
417,Sales Promotion Girls or Boys,BUMI LAUT GROUP,Kerja di kantor,-,"Microsoft Office,Sales and Marketing,Sales Operations",https://glints.com/id/opportunities/jobs/sales-promotion-girls-or-boys/aefa4c4b-2bcd-49fc-8e47-372d084f4f34?utm_referrer=explore,aefa4c4b-2bcd-49fc-8e47-372d084f4f34,contract,onsite,1-3,SMA/SMK,Business Development & Sales,Sales,Sales Consultant,2024-04-29,Tanah Abang, Jakarta Pusat, DKI Jakarta
418,Frontend Web Developer (Reactjs & ElectronJS),Ur (pt. Rahmat Tuhan Lestari),Kerja di kantor,-,"React.js,Relational Databases,MySQL",https://glints.com/id/opportunities/jobs/frontend-web-developer-reactjs-and-electronjs/175c78d3-abd5-4450-88fb-d975f8a07632?utm_referrer=explore,175c78d3-abd5-4450-88fb-d975f8a07632,full_time,onsite,<1,SMA/SMK,Computer & Information Technology,Software,Programmer,2024-04-29,Babakan Ciparay, Bandung, Jawa Barat
