,job_title,company_name,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,sub_category,role,scrapped_date,district,city,province
12,QA Engineer,PT Avows Technologies,Rp5jt-Rp7jt,"Cypress,Katalon,Selenium WebDriver,Appium,Manual Testing,Postman Software",https://glints.com/id/opportunities/jobs/qa-engineer/b596c6dd-7da0-46bf-965f-cc812f072903?utm_referrer=explore,b596c6dd-7da0-46bf-965f-cc812f072903,contract,onsite,1-3,Sarjana,QA & Software Testing,QA Engineer,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
13,Laravel and Flutter Developer,SocioDigitals,Rp1jt-Rp4jt,"salary,TailwindCSS,Laravel,PHP,Dart",https://glints.com/id/opportunities/jobs/laravel-and-flutter-developer/d5985798-127e-4008-aaa2-151203433a47?utm_referrer=explore,d5985798-127e-4008-aaa2-151203433a47,full_time,remote,1-3,SMA/SMK,Mobile Development,Laravel/Flutter Developer,4/3/2024,Gubeng, Surabaya, Jawa Timur
14,Cybersecurity Engineer,Synapsis.id,-,"Penetration Testing,Red Hat Linux,Cybersecurity",https://glints.com/id/opportunities/jobs/cybersecurity-engineer/edb444d4-e6bc-4261-90fa-d8fe668052c8?utm_referrer=explore,edb444d4-e6bc-4261-90fa-d8fe668052c8,full_time,onsite,1-3,Diploma,Cyber Security,Cyber Security Engineer,4/3/2024,Makasar, Jakarta Timur, DKI Jakarta
15,Learning Development Internship,Sertifikasiku.com,-,"Microsoft 365,Strong Communication Skills,Active Learning,Learning Management Systems,Creative Design,Analytical Skills,Product Development,Training",https://glints.com/id/opportunities/jobs/learning-development-internship/3d632918-246d-4d23-8199-350e6b36c3e0?utm_referrer=explore,3d632918-246d-4d23-8199-350e6b36c3e0,internship,onsite,<1,SMA/SMK,Software,Developer,4/3/2024,Mampang Prapatan, Jakarta Selatan, DKI Jakarta
16,Network Engineer Staf,Jinom,-,"IP Networking,Cisco,Mikrotik",https://glints.com/id/opportunities/jobs/network-engineer-staf/e72ef1c2-1e3f-47ce-ae1b-50978b931d71?utm_referrer=explore,e72ef1c2-1e3f-47ce-ae1b-50978b931d71,full_time,onsite,1-3,Sarjana,"Network, System & Database Admin",Network Engineer,4/3/2024,Denpasar Timur, Denpasar, Bali
17,Application Developer Intern,Jinom,-,"MySQL,Object-Oriented Programming (OOP),Laravel,PHP,Communication Skills",https://glints.com/id/opportunities/jobs/application-developer-intern/f73ababf-ae0f-4d66-b9bf-c1436a91545f?utm_referrer=explore,f73ababf-ae0f-4d66-b9bf-c1436a91545f,internship,onsite,<1,SMA/SMK,Software,Application Developer,4/3/2024,Denpasar Timur, Denpasar, Bali
18,Junior Network Engineer,PT Angkasa Defender Indonesia - ASDF.ID,-,"Demo Produk,Troubleshooting,Networking",https://glints.com/id/opportunities/jobs/junior-network-engineer/a031bb5e-4f2f-4384-b7a6-8dfccc4ff338?utm_referrer=explore,a031bb5e-4f2f-4384-b7a6-8dfccc4ff338,full_time,onsite,<1,Diploma,"Network, System & Database Admin",Network Engineer,4/3/2024,Kelapa Gading, Jakarta Utara, DKI Jakarta
19,Internship Kotlin Mobile Programmer,PT Angkasa Defender Indonesia - ASDF.ID,-,"Mobile App Development,REST API,Kotlin",https://glints.com/id/opportunities/jobs/internship-kotlin-mobile-programmer/e620e7c5-335f-4538-ad84-4674e690be75?utm_referrer=explore,e620e7c5-335f-4538-ad84-4674e690be75,internship,onsite,<1,SMA/SMK,Mobile Development,Kotlin Developer,4/3/2024,Kelapa Gading, Jakarta Utara, DKI Jakarta
20,Data Scientist (Relocate to Japan),kapanjepan,-,"Data Engineering,Data Analytics,Python,Statistical Data Analysis",https://glints.com/id/opportunities/jobs/data-scientist-relocate-to-japan/8da52150-3d20-4dc9-85b7-755fdf2f3e74?utm_referrer=explore,8da52150-3d20-4dc9-85b7-755fdf2f3e74,full_time,remote,1-3,Sarjana,Data,Data Scientist,4/3/2024,Menteng, Jakarta Pusat, DKI Jakarta
21,Software Development Engineer (Relocate to Japan),kapanjepan,-,"JavaScript,TypeScript,Software Development,Software Architecture",https://glints.com/id/opportunities/jobs/software-development-engineer-relocate-to-japan/045a67b6-e80e-4cec-a8df-6bbb960675af?utm_referrer=explore,045a67b6-e80e-4cec-a8df-6bbb960675af,full_time,remote,1-3,Sarjana,Software,Software Engineer,4/3/2024,Menteng, Jakarta Pusat, DKI Jakarta
22,Infrastructure Engineer (Relocate to Japan),kapanjepan,-,"Networking,Software Engineering,IP Networking",https://glints.com/id/opportunities/jobs/infrastructure-engineer-relocate-to-japan/80dd1734-d522-45b7-84d0-3d61e8e02ffb?utm_referrer=explore,80dd1734-d522-45b7-84d0-3d61e8e02ffb,full_time,remote,1-3,Sarjana,"Network, System & Database Admin",Network Engineer,4/3/2024,Menteng, Jakarta Pusat, DKI Jakarta
23,PROGRAMMER JAVA SPRING BOOT,Pt Bionic Teknologi Indonesia,-,"Java,JavaScript,Spring Framework",https://glints.com/id/opportunities/jobs/programmer-java-spring-boot/fa92b35d-ed1f-40a2-b174-25df4cff6020?utm_referrer=explore,fa92b35d-ed1f-40a2-b174-25df4cff6020,full_time,onsite,1-3,SMA/SMK,Software,Java Developer,4/3/2024,Tebet, Jakarta Selatan, DKI Jakarta
24,Data Scrapping Agent,Kalapa Technology,"Rp2,3jt-Rp2,4jt","Marketing Communications,Data Analytics,Data Collection",https://glints.com/id/opportunities/jobs/data-scrapping-agent/c5b1470e-b7e8-4c44-9d8e-5003411b7408?utm_referrer=explore,c5b1470e-b7e8-4c44-9d8e-5003411b7408,full_time,onsite,<1,SMA/SMK,Data,Data Analyst,4/3/2024,Kapanewon Banguntapan, Bantul, DI Yogyakarta
25,IT Programmer,PT Spectrum UniTec,-,Programming Languages,https://glints.com/id/opportunities/jobs/it-programmer/3e443b49-d732-4e43-af74-c6f98a51a2c4?utm_referrer=explore,3e443b49-d732-4e43-af74-c6f98a51a2c4,full_time,onsite,1-3,Sarjana,Software,Programmer,4/3/2024,Jatiuwung, Tangerang, Banten
26,Data Scientist,PT Adinata Mitra Solusi,"Rp8,5jt-Rp12jt","NoSQL,SQL,Python",https://glints.com/id/opportunities/jobs/data-scientist/d125f53b-a375-45bd-9269-69d221d7d9c8?utm_referrer=explore,d125f53b-a375-45bd-9269-69d221d7d9c8,full_time,onsite,1-3,Diploma,Data,Data Scientist,4/3/2024,Kebayoran Lama, Jakarta Selatan, DKI Jakarta
