,job_title,company_name,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,sub_category,role,scrapped_date,district,city,province
253,IT Coordinator,PT. EASYBOOK TEKNOLOGI INDONESIA,-,"Troubleshooting,Computer Hardware,Software Testing,IT Service Management",https://glints.com/id/opportunities/jobs/it-coordinator/4ae29ba9-70ab-4daf-9c81-6804c8229ddd?utm_referrer=explore,4ae29ba9-70ab-4daf-9c81-6804c8229ddd,contract,onsite,1-3,Sarjana,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024,Denpasar Barat, Denpasar, Bali
254,Junior Engineer,PT. SATNETCOM,-,"IP Networking,Tcp/ip,Komputer Jaringan,Gps Tracking",https://glints.com/id/opportunities/jobs/junior-engineer/d242e0c0-5ea7-4700-9263-03ac24312d91?utm_referrer=explore,d242e0c0-5ea7-4700-9263-03ac24312d91,contract,onsite,<1,SMA/SMK,"Network, System & Database Admin",Field App,4/3/2024,Lawang Kidul, Muara Enim, Sumatera Selatan
255,Infrastructure and Cloud Engineer,AsiaQuest Indonesia,-,"Cloud Computing,Google Cloud Platform,Amazon Web Services (AWS)",https://glints.com/id/opportunities/jobs/infrastructure-and-cloud-engineer/597175c2-b459-419f-9345-6aa64ab953ef?utm_referrer=explore,597175c2-b459-419f-9345-6aa64ab953ef,full_time,onsite,3-5,Sarjana,"Network, System & Database Admin",Cloud Engineer,4/3/2024,Menteng, Jakarta Pusat, DKI Jakarta
256,SOFTWARE DEVELOPMENT,PT Softorb Technology Indonesia,-,"Java,MySQL,Cloud Computing",https://glints.com/id/opportunities/jobs/software-development/70218d15-77db-488a-a804-a65501655085?utm_referrer=explore,70218d15-77db-488a-a804-a65501655085,full_time,onsite,1-3,Sarjana,Software,Software Developer,4/3/2024,Cengkareng, Jakarta Barat, DKI Jakarta
257,Engineer on Site,PT Varnion Technology Semesta,-,"IP Networking,Network Administration,Networking",https://glints.com/id/opportunities/jobs/engineer-on-site/fa8cd99b-1fe1-49ab-b37f-de6755f825c7?utm_referrer=explore,fa8cd99b-1fe1-49ab-b37f-de6755f825c7,full_time,onsite,1-3,Sarjana,"Network, System & Database Admin",Network Engineer,4/3/2024,Gajah Mungkur, Semarang, Jawa Tengah
258,Fullstack Developer (Placement in Philippines),SkyTech Solutions Inc,-,"Node.js,Angular.js,Java,.NET,REST API",https://glints.com/id/opportunities/jobs/fullstack-developer-placement-in-philippines/b6ff7376-d9b9-44cd-9a9d-e4e8e47c28fa?utm_referrer=explore,b6ff7376-d9b9-44cd-9a9d-e4e8e47c28fa,full_time,onsite,3-5,Sarjana,Full Stack Development,Full Stack Developer,4/3/2024,Cengkareng, Jakarta Barat, DKI Jakarta
259,ICT Teacher,Global Islamic School 3,-,"Computer Science,Pendidikan Komputer,Teknologi Informatika",https://glints.com/id/opportunities/jobs/ict-teacher/37aa0043-a98e-4306-b62a-0af090ae41d4?utm_referrer=explore,37aa0043-a98e-4306-b62a-0af090ae41d4,full_time,onsite,1-3,Sarjana,Education,ICT Teacher,4/3/2024,Kapanewon Depok, Sleman, DI Yogyakarta
260,Data Scientist,PT. Fortech Indotama,-,"Computer Science,Data Analytics,Data Science",https://glints.com/id/opportunities/jobs/data-scientist/c4205a81-3727-46b0-804d-bdc47ed567c2?utm_referrer=explore,c4205a81-3727-46b0-804d-bdc47ed567c2,full_time,onsite,5-10,Sarjana,Data,Data Scientist,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
261,IT Manager,Pt. Alvindo Catur Sentosa,-,"ITIL,SAP,ERP Software,Scrum",https://glints.com/id/opportunities/jobs/it-manager/f507fe6d-7666-408c-bd0f-c5eeedbb3931?utm_referrer=explore,f507fe6d-7666-408c-bd0f-c5eeedbb3931,full_time,onsite,3-5,Sarjana,Software,IT Manager,4/3/2024,Grogol Petamburan, Jakarta Barat, DKI Jakarta
262,Software Engineer (Kontrak Freelance atau Paruh-Waktu),Chatbiz,-,"Supabase,Software Engineering,PostgreSQL,React.js",https://glints.com/id/opportunities/jobs/software-engineer-kontrak-freelance-atau-paruh-waktu/c9c0c1f5-29c3-4c78-8119-2f9c34e70b9d?utm_referrer=explore,c9c0c1f5-29c3-4c78-8119-2f9c34e70b9d,part_time,remote,1-3,SMA/SMK,Software,Software Engineer,4/3/2024,Coblong, Bandung, Jawa Barat
263,Pre Sales Engineer,PT. Infotech Digital System,Rp5jt-Rp8jt,"Computer Networking,Electricity,Networking",https://glints.com/id/opportunities/jobs/pre-sales-engineer/9165d5cd-8269-4a34-b07a-ea8ae4f6be1f?utm_referrer=explore,9165d5cd-8269-4a34-b07a-ea8ae4f6be1f,contract,onsite,3-5,Diploma,Technical Sales Support,Technical Support Engineer,4/3/2024,Sawah Besar, Jakarta Pusat, DKI Jakarta
264,Data Analyst,PT Bintang Gelora Sejahtera,-,"Data Analytics,Data Collection,Analytical Skills",https://glints.com/id/opportunities/jobs/data-analyst/67d57fd2-3f8f-41db-bdcb-5fd12f290be8?utm_referrer=explore,67d57fd2-3f8f-41db-bdcb-5fd12f290be8,full_time,remote,1-3,Sarjana,Data,Data Analyst,4/3/2024,Kapanewon Depok, Sleman, DI Yogyakarta
265,Full Stack Engineer,Sunarisa Speaking School,Rp1jt-Rp3jt,"salary,PHP,Website Management,PL/SQL,JavaScript,SQL,Microsoft SQL Server",https://glints.com/id/opportunities/jobs/full-stack-engineer/ef16162f-fb56-45e2-a48b-520165e57916?utm_referrer=explore,ef16162f-fb56-45e2-a48b-520165e57916,part_time,remote,-,Sarjana,Full Stack Development,Full Stack Engineer,4/3/2024,Penjaringan, Jakarta Utara, DKI Jakarta
266,QA Automation,Rakamin Academy,-,"Software Testing,Amazon Web Services (AWS),Katalon",https://glints.com/id/opportunities/jobs/qa-automation/32f75ecb-780d-4825-9bcb-053c2e263dcf?utm_referrer=explore,32f75ecb-780d-4825-9bcb-053c2e263dcf,contract,onsite,3-5,Sarjana,QA & Software Testing,QA Tester,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
267,Magang Teknisi Komputer,PT. SUKSES KOMPUTINDO ABADI,-,"Teamwork,Communication Skills,Attention to Detail,IT Project Management,IT Infrastructure Management",https://glints.com/id/opportunities/jobs/magang-teknisi-komputer/e27c682d-2cad-47fd-a00d-298e46165865?utm_referrer=explore,e27c682d-2cad-47fd-a00d-298e46165865,internship,onsite,1-3,SMA/SMK,Other Computer & Information Technology,Other Technical Positions,4/3/2024,Bogor Selatan, Bogor, Jawa Barat
268,IT Infrastructure Engineer,PT SINERGI INFORMATIKA SEMEN INDONESIA,"Rp6,5jt-Rp8jt","IT Infrastructure Management,Windows Server Administration,Solution Architecture",https://glints.com/id/opportunities/jobs/it-infrastructure-engineer/cca08952-7d18-460f-875f-32be81ca8d92?utm_referrer=explore,cca08952-7d18-460f-875f-32be81ca8d92,contract,onsite,1-3,Sarjana,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
269,QA Engineer Katalon,Sagara Technology,Rp7jt-Rp10jt,"Katalon,QA Automation,Test Automation,Integration Testing,Software Quality Assurance",https://glints.com/id/opportunities/jobs/qa-engineer-katalon/d3e84deb-9436-4719-bd4a-c311905fac27?utm_referrer=explore,d3e84deb-9436-4719-bd4a-c311905fac27,full_time,onsite,1-3,Sarjana,QA & Software Testing,QA Engineer,4/3/2024,Pancoran Mas, Depok, Jawa Barat
270,IT Support,CV Crystal,-,"ERP Software,Attention to Detail,Troubleshooting,System Deployment,IT Management,Windows Server Administration,IP Networking,Data Management,Positive Attitude,Networking",https://glints.com/id/opportunities/jobs/it-support/5027a99d-2c34-4f5c-b5cd-f5a0c0a39e58?utm_referrer=explore,5027a99d-2c34-4f5c-b5cd-f5a0c0a39e58,full_time,onsite,1-3,Diploma,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024,Denpasar Utara, Denpasar, Bali
271,Technical Engineer (Teknisi),PT Geo Tekno Globalindo (geotrack),-,"Mechanical Engineering,Electricity,Maintenance Engineering,Problem Solving Skills",https://glints.com/id/opportunities/jobs/technical-engineer-teknisi/69234830-0127-41aa-ab49-cb045da92f4d?utm_referrer=explore,69234830-0127-41aa-ab49-cb045da92f4d,full_time,remote,1-3,SMA/SMK,Electronic & Semiconductor,Technician,4/3/2024,Kelapa Gading, Jakarta Utara, DKI Jakarta
272,Staff Senior IT,PT Arion Paramita Holding Company,-,"Analytical Skills,Information Technology,Computer Science,Attention to Detail,Teamwork,Communication Skills",https://glints.com/id/opportunities/jobs/staff-senior-it/4820cfe5-7416-4c9e-82a8-d8a20dec1852?utm_referrer=explore,4820cfe5-7416-4c9e-82a8-d8a20dec1852,full_time,onsite,3-5,Sarjana,"Other Computer & Information Technology",Information Technology Staff,4/3/2024,Pulogadung, Jakarta Timur, DKI Jakarta
273,IT Leader,PT.Ketrosden Triasmitra,-,"MySQL,JavaScript,IP Networking",https://glints.com/id/opportunities/jobs/it-leader/23ac9793-f0f5-4f05-8ebf-6d8bdbbb7693?utm_referrer=explore,23ac9793-f0f5-4f05-8ebf-6d8bdbbb7693,full_time,onsite,1-3,Sarjana,Other Computer & Information Technology,Information Technology Staff,4/3/2024,Jatinegara, Jakarta Timur, DKI Jakarta
274,R&D Electronic Engineer,PT. Harapan Energie Indonesia,-,"Design Sirkuit Dan Pemrograman Mikrokontroler,Pemahaman Yang Solid Tentang Perangkat Keras Dan Perangkat Lunak.,Pemahaman Yang Kuat Tentang Prinsip-prinsip Dasar Elektronika",https://glints.com/id/opportunities/jobs/r-and-d-electronic-engineer/0dc4e993-5fd9-4d87-af4e-930987273187?utm_referrer=explore,0dc4e993-5fd9-4d87-af4e-930987273187,full_time,onsite,<1,SMA/SMK,Electronic & Semiconductor,Electronics Engineer,4/3/2024,Pinang, Tangerang, Banten
275,Power BI Developer,Kreasi Dua Konsep (2Konzept),-,"SQL,Cloud Computing,Power BI",https://glints.com/id/opportunities/jobs/power-bi-developer/37126265-8664-4499-8e59-a52a1d4ba901?utm_referrer=explore,37126265-8664-4499-8e59-a52a1d4ba901,full_time,onsite,1-3,Sarjana,Data,Power BI Developer,4/3/2024,Cilandak, Jakarta Selatan, DKI Jakarta
276,Technical Support,Lunapos.id,-,"Customer Support,Client Management,Communication Skills",https://glints.com/id/opportunities/jobs/technical-support/9a5acdbe-c777-43a2-b421-0ff404ab3118?utm_referrer=explore,9a5acdbe-c777-43a2-b421-0ff404ab3118,full_time,onsite,1-3,SMA/SMK,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024,Tembalang, Semarang, Jawa Tengah
277,Frontend Engineer,Kawan Kerja,-,"Communication Skills,JavaScript,React.js,HTML5,TypeScript,TailwindCSS",https://glints.com/id/opportunities/jobs/frontend-engineer/e3ef994b-d9e4-4af2-8f50-23fa25d3a4aa?utm_referrer=explore,e3ef994b-d9e4-4af2-8f50-23fa25d3a4aa,internship,remote,<1,SMA/SMK,Frontend Development,Frontend Engineer,4/3/2024,Bandung Wetan, Bandung, Jawa Barat
278,Network Security Engineer On-Site,PT Sembrani Siber Solusindo,-,"Network Administration,Computer Networking,Security Engineer,Network Engineer,Network Security,Networking,Network Security Engineer,Hardware Engineering,Software Engineering",https://glints.com/id/opportunities/jobs/network-security-engineer-on-site/74fc16be-749c-4930-8f04-f4384376c2f2?utm_referrer=explore,74fc16be-749c-4930-8f04-f4384376c2f2,full_time,onsite,<1,Sarjana,"Network, System & Database Admin",Network Engineer,4/3/2024,Kemayoran, Jakarta Pusat, DKI Jakarta
279,Full Stack Web Developer,YPN Karangturi,"Rp3jt-Rp4,5jt","Laravel,PostgreSQL,MySQL,API Development,PHP,MongoDB,Object-Oriented Programming (OOP),Cloud Computing",https://glints.com/id/opportunities/jobs/full-stack-web-developer/ae252b0b-7a19-4f7f-9ea9-a9335146aefa?utm_referrer=explore,ae252b0b-7a19-4f7f-9ea9-a9335146aefa,full_time,onsite,1-3,Diploma,Full Stack Development,Full Stack Developer,4/3/2024,Tugu, Semarang, Jawa Tengah
280,IT Support (Teknisi Komputer dan Jaringan),YPN Karangturi,-,"Router Configuration,Teknisi Komputer,Computer Networking,Cisco,Network Administration",https://glints.com/id/opportunities/jobs/it-support-teknisi-komputer-dan-jaringan/37c282e4-651a-484b-9c02-0cf8bc1122c2?utm_referrer=explore,37c282e4-651a-484b-9c02-0cf8bc1122c2,full_time,onsite,-,SMA/SMK,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024,Tugu, Semarang, Jawa Tengah
281,UI/UX Designer,Mengantar Karya Bangsa,Rp8jt-Rp10jt,"Adobe Illustrator,Figma,Ux Reserch,UI Design",https://glints.com/id/opportunities/jobs/ui-ux-designer/158091c9-0332-48af-ada6-a130f03da6dc?utm_referrer=explore,158091c9-0332-48af-ada6-a130f03da6dc,full_time,remote,3-5,Diploma,Software,UI UX,4/3/2024,Lowokwaru, Malang, Jawa Timur
282,Admin Hybrid,PT Tekno Mandiri Abadi,"Rp2,9jt-Rp3jt","Administration,Microsoft Office,Maintenance Engineering,Network Administration",https://glints.com/id/opportunities/jobs/admin-hybrid/acbeb7fc-1152-45a5-a604-8079858ed08c?utm_referrer=explore,acbeb7fc-1152-45a5-a604-8079858ed08c,full_time,onsite,1-3,SMA/SMK,"Network, System & Database Admin",System Administrator,4/3/2024,Denpasar Selatan, Denpasar, Bali
283,Programmer,Lafaso,Rp5jt-Rp20jt,"Customer Service,Analytical Skills,Microsoft Word,Microsoft Office,Teamwork,Adobe Photoshop,Microsoft Excel,Public Speaking,Administration",https://glints.com/id/opportunities/jobs/programmer/45f863b6-1e71-4f1d-988f-e83170cd4fbd?utm_referrer=explore,45f863b6-1e71-4f1d-988f-e83170cd4fbd,full_time,onsite,1-3,Sarjana,Software,Programmer,4/3/2024,Kelapa Dua, Tangerang, Banten
284,Teknisi,PT Tekno Mandiri Abadi,"Rp2,8jt-Rp2,9jt","Strong Communication Skills,Maintenance Engineering,Problem Solving Skills",https://glints.com/id/opportunities/jobs/teknisi/7ccfa201-2e22-43c9-973d-c122c3dc35f3?utm_referrer=explore,7ccfa201-2e22-43c9-973d-c122c3dc35f3,full_time,onsite,1-3,SMA/SMK,Technical Sales Support,Technical Support Engineer,4/3/2024,Denpasar Barat, Denpasar, Bali
285,IT Support,Klinik Utama Lips,-,"IT Audit,It Support,Attention to Detail",https://glints.com/id/opportunities/jobs/it-support/76d3a24f-60c0-48c8-aba8-652e11328661?utm_referrer=explore,76d3a24f-60c0-48c8-aba8-652e11328661,full_time,onsite,1-3,Diploma,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024,Cilandak, Jakarta Selatan, DKI Jakarta
286,IT Support (Gresik Tuban Tonasa Rembang Padang),PT SINERGI INFORMATIKA SEMEN INDONESIA,"Rp4,1jt-Rp5,5jt","Wan,Networking,LAN,It Support",https://glints.com/id/opportunities/jobs/it-support-gresik-tuban-tonasa-rembang-padang/a898ee67-3fb4-4ff7-ac7f-ea2160fa715b?utm_referrer=explore,a898ee67-3fb4-4ff7-ac7f-ea2160fa715b,contract,onsite,1-3,Sarjana,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024,Rembang, Rembang, Jawa Tengah
287,Customer Engineer (Pamekas),PT Kinarya Alihdaya Mandiri,"Rp4,2jt-Rp6jt","Troubleshooting,Software Engineering,Hardware Engineering",https://glints.com/id/opportunities/jobs/customer-engineer-pamekas/4267c554-ba01-4552-aeb1-5be6b9554a9e?utm_referrer=explore,4267c554-ba01-4552-aeb1-5be6b9554a9e,full_time,onsite,<1,Diploma,Hardware Development,Automation Engineer,4/3/2024,Pamekasan, Pamekasan, Jawa Timur
288,Customer Engineer (Cirebon),PT Kinarya Alihdaya Mandiri,"Rp4,2jt-Rp6jt","Software Engineering,Hardware Engineering,Troubleshooting",https://glints.com/id/opportunities/jobs/customer-engineer-cirebon/f7e0ac8a-de85-4593-95ce-05d50ec284be?utm_referrer=explore,f7e0ac8a-de85-4593-95ce-05d50ec284be,full_time,onsite,<1,Diploma,Hardware Development,Automation Engineer,4/3/2024,Harjamukti, Cirebon, Jawa Barat
289,Customer Engineer (Indramayu),PT Kinarya Alihdaya Mandiri,"Rp4,2jt-Rp6jt","Hardware Engineering,Software Engineering,Troubleshooting",https://glints.com/id/opportunities/jobs/customer-engineer-indramayu/b26decfa-2b7a-4107-9cca-f0cdcaf81167?utm_referrer=explore,b26decfa-2b7a-4107-9cca-f0cdcaf81167,full_time,onsite,<1,Diploma,Hardware Development,Automation Engineer,4/3/2024,Indramayu, Indramayu, Jawa Barat
290,Customer Engineer (Muara Bungo),PT Kinarya Alihdaya Mandiri,"Rp4,2jt-Rp6jt","Hardware Engineering,Troubleshooting,Software Engineering",https://glints.com/id/opportunities/jobs/customer-engineer-muara-bungo/dc807e9e-310d-417d-8ce1-7942de5047af?utm_referrer=explore,dc807e9e-310d-417d-8ce1-7942de5047af,full_time,onsite,<1,Diploma,Hardware Development,Automation Engineer,4/3/2024,Bungo Dani, Bungo, Jambi
291,Customer Engineer (Lahat),PT Kinarya Alihdaya Mandiri,"Rp4,2jt-Rp6jt","Troubleshooting,Software Engineering,Hardware Engineering",https://glints.com/id/opportunities/jobs/customer-engineer-lahat/1cd9ec21-66d4-447d-95b2-1081577db9c8?utm_referrer=explore,1cd9ec21-66d4-447d-95b2-1081577db9c8,full_time,onsite,<1,Diploma,Hardware Development,Automation Engineer,4/3/2024,Kotolahat, Lahat, Sumatera Selatan
292,Java Developer,Qode World,Rp7jt-Rp10jt,"Spring Framework,J2EE,Apache,Java",https://glints.com/id/opportunities/jobs/java-developer/3ba8f101-6f9a-49b4-a839-6fb9c185352b?utm_referrer=explore,3ba8f101-6f9a-49b4-a839-6fb9c185352b,contract,onsite,3-5,Sarjana,Backend Development,Java Developer,4/3/2024,Menteng, Jakarta Pusat, DKI Jakarta
293,Quality Assurance Internship,PT. Folarium Innotek Indonesia,"Rp600rb-Rp1,6jt","Software Quality Assurance,Software Testing,Usability Testing",https://glints.com/id/opportunities/jobs/quality-assurance-internship/dfe54c23-ba7d-4613-ac19-21b2fbe50ca1?utm_referrer=explore,dfe54c23-ba7d-4613-ac19-21b2fbe50ca1,internship,onsite,<1,SMA/SMK,QA & Software Testing,Quality Assurance,4/3/2024,Jagakarsa, Jakarta Selatan, DKI Jakarta
294,Programmer Web & Aplikasi,PT Bedev Development Technology,Rp2jt-Rp4jt,"Programming Languages,Attention to Detail,Laravel,Positive Attitude",https://glints.com/id/opportunities/jobs/programmer-web-and-aplikasi/0659fba8-592e-4d34-99d3-e33629ff6c03?utm_referrer=explore,0659fba8-592e-4d34-99d3-e33629ff6c03,full_time,onsite,1-3,SMA/SMK,Software,Programmer,4/3/2024,Denpasar Utara, Denpasar, Bali
295,Senior Java Springboot Programmer,Inotal Sistema International,Rp12jt-Rp20jt,"Eclipse Ide,Spring Boot,Spring Framework,Java,Apache",https://glints.com/id/opportunities/jobs/senior-java-springboot-programmer/ba9a85af-0115-4e44-9583-17b49e8ac631?utm_referrer=explore,ba9a85af-0115-4e44-9583-17b49e8ac631,contract,onsite,3-5,Diploma,Software,Java Developer,4/3/2024,Gambir, Jakarta Pusat, DKI Jakarta
296,AI DevOps Engineer,Madebyhumans,-,"Kubernetes,Google Cloud Platform,Node.js,Amazon Web Services (AWS)",https://glints.com/id/opportunities/jobs/ai-devops-engineer/4ce36c55-339c-4396-bdc6-09281d93535e?utm_referrer=explore,4ce36c55-339c-4396-bdc6-09281d93535e,full_time,remote,3-5,Sarjana,"Operation, Maintenance & Technical Support",Devops Engineer,4/3/2024,Kembangan, Jakarta Barat, DKI Jakarta
297,AI Engineer (LLM & Stable Diffusion),Madebyhumans,-,"Python,Node.js,JavaScript",https://glints.com/id/opportunities/jobs/ai-engineer-llm-and-stable-diffusion/c17d9e79-b742-423d-972d-291d9b410381?utm_referrer=explore,c17d9e79-b742-423d-972d-291d9b410381,full_time,remote,1-3,Sarjana,Artificial Intelligence,AI Engineer,4/3/2024,Kembangan, Jakarta Barat, DKI Jakarta
298,BT Application Developer,SOHO Global Health,-,"PL/SQL,Information Systems,Business Intelligence,Programming Languages,CSS3,JavaScript,Microsoft SQL Server,Software Engineering,ERP Software",https://glints.com/id/opportunities/jobs/bt-application-developer/bd1e68b0-d43e-451b-91a0-bf0e9aec453f?utm_referrer=explore,bd1e68b0-d43e-451b-91a0-bf0e9aec453f,full_time,onsite,1-3,Sarjana,Software,BT Application Developer,4/3/2024,Pulogadung, Jakarta Timur, DKI Jakarta
299,Implementor / Consultant Analyst,PT PRIMA SOLUSI COMPUTINDO,"Rp4,5jt-Rp5,5jt","SQL,Microsoft Office,System Analysis,Figma",https://glints.com/id/opportunities/jobs/implementor-consultant-analyst/5375c980-87a8-4caf-bc7a-e16c1aba5930?utm_referrer=explore,5375c980-87a8-4caf-bc7a-e16c1aba5930,full_time,onsite,<1,Sarjana,"Network, System & Database Admin",System Analyst,4/3/2024,Tanjung Priok, Jakarta Utara, DKI Jakarta
300,Security Analyst & Project Manager,PT Gerbang Sinergi Prima,-,"Communication Skills,Network Security,IT Security",https://glints.com/id/opportunities/jobs/security-analyst-and-project-manager/16e199d0-fa15-489e-a86b-a6f70fd2e0db?utm_referrer=explore,16e199d0-fa15-489e-a86b-a6f70fd2e0db,full_time,onsite,3-5,Sarjana,Cyber Security,Security Analyst,4/3/2024,Menteng, Jakarta Pusat, DKI Jakarta
301,Engineer Security Operation Center & Threat Intellegence Analyst,PT Gerbang Sinergi Prima,-,"Information Security,Communication Skills,IT Security",https://glints.com/id/opportunities/jobs/engineer-security-operation-center-and-threat-intellegence-analyst/297a7cda-c78c-40f8-ba0d-ad7c93211f10?utm_referrer=explore,297a7cda-c78c-40f8-ba0d-ad7c93211f10,full_time,onsite,1-3,Sarjana,Cyber Security,SOC Analyst,4/3/2024,Menteng, Jakarta Pusat, DKI Jakarta
302,Backend Engineer (Internship),Nodewave Indonesia,-,"MySQL,Back-End Web Development,API Development",https://glints.com/id/opportunities/jobs/backend-engineer-internship/38772e84-0a72-4084-804c-05dfa1975f24?utm_referrer=explore,38772e84-0a72-4084-804c-05dfa1975f24,internship,remote,1-3,SMA/SMK,Backend Development,Backend Developer,4/3/2024,Kebon Jeruk, Jakarta Barat, DKI Jakarta
303,Web Developer,Bisnis Integrasi Global,-,"PostgreSQL,PHP,MySQL",https://glints.com/id/opportunities/jobs/web-developer/7e67bf61-e414-44f1-ae6f-e08b6fcc7008?utm_referrer=explore,7e67bf61-e414-44f1-ae6f-e08b6fcc7008,full_time,onsite,3-5,Sarjana,Software,Web Developer,4/3/2024,Kebon Jeruk, Jakarta Barat, DKI Jakarta
304,Web Developer,PT. Inovasi Mitra Sejati,"Rp4,5jt-Rp4,6jt","Web Analytics,Web Development,Positive Attitude,Website Management",https://glints.com/id/opportunities/jobs/web-developer/5a4cf0ad-9711-4430-8e0d-acc32d25077e?utm_referrer=explore,5a4cf0ad-9711-4430-8e0d-acc32d25077e,full_time,onsite,1-3,Diploma,Software,Web Developer,4/3/2024,Pinang, Tangerang, Banten
305,Engineer,PT. Kaja Sarana Inovasi (Pro Worker),-,"Problem Solving Skills,Teamwork,English Languange",https://glints.com/id/opportunities/jobs/engineer/bce6aed0-6b9a-4227-b14b-9b0766dad8cc?utm_referrer=explore,bce6aed0-6b9a-4227-b14b-9b0766dad8cc,contract,onsite,1-3,Diploma,Electronic & Semiconductor,Technician,4/3/2024,Tanjung Priok, Jakarta Utara, DKI Jakarta
306,Staff IT,PT. Wanindo Prima,Rp4jt-Rp6jt,"PHP,SQL,Microsoft SQL Server",https://glints.com/id/opportunities/jobs/staff-it/9f713da0-5475-43f5-b239-1cbe236241d6?utm_referrer=explore,9f713da0-5475-43f5-b239-1cbe236241d6,full_time,onsite,3-5,Sarjana,Other Computer & Information Technology,Information Technology Staff,4/3/2024,Kalideres, Jakarta Barat, DKI Jakarta
307,Quality Assurance Intern,Hyppe Indonesia,"Rp1,5jt-Rp2jt","SDLC,Software Quality Assurance,Microsoft Office",https://glints.com/id/opportunities/jobs/quality-assurance-intern/23e65487-d2fe-4e8d-a54d-5aa280dd0a85?utm_referrer=explore,23e65487-d2fe-4e8d-a54d-5aa280dd0a85,internship,onsite,<1,Sarjana,QA & Software Testing,QA Tester,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
308,Developer Python,Kreasi Dua Konsep (2Konzept),"Rp5,5jt-Rp7jt","Oracle Database,Python,Robot Framework",https://glints.com/id/opportunities/jobs/developer-python/beb984aa-1a47-4761-a00d-0f2893632fb8?utm_referrer=explore,beb984aa-1a47-4761-a00d-0f2893632fb8,full_time,onsite,1-3,Sarjana,Software,Python Developer,4/3/2024,Senen, Jakarta Pusat, DKI Jakarta
309,Lead Security Operation Center,PT Gerbang Sinergi Prima,-,"IT Security,Information Technology,Information Systems",https://glints.com/id/opportunities/jobs/lead-security-operation-center/debad1db-0524-4853-a860-db2ef432d26a?utm_referrer=explore,debad1db-0524-4853-a860-db2ef432d26a,full_time,onsite,3-5,Sarjana,Cyber Security,SOC Analyst,4/3/2024,Menteng, Jakarta Pusat, DKI Jakarta
310,Internship Mobile Kotlin Programer,PT Qtera Mandiri,-,"Kotlin,Android Development,Mobile App Development",https://glints.com/id/opportunities/jobs/internship-mobile-kotlin-programer/96ebfce8-d5b3-4d01-85f6-a592450d2573?utm_referrer=explore,96ebfce8-d5b3-4d01-85f6-a592450d2573,internship,onsite,<1,SMA/SMK,Mobile Development,Kotlin Developer,4/3/2024,Kelapa Gading, Jakarta Utara, DKI Jakarta
311,Regional Sales Bandung,Madael Consult (HR Consultant),-,"English Languange,B2C Sales,Negotiation Skills",https://glints.com/id/opportunities/jobs/regional-sales-bandung/c228f50f-256f-4822-9cc0-ee3a27131493?utm_referrer=explore,c228f50f-256f-4822-9cc0-ee3a27131493,contract,remote,1-3,SMA/SMK,Technical Sales Support,Technical Sales Support,4/3/2024,Sumur Bandung, Bandung, Jawa Barat
312,iOS Developer,PT 360 Teknologi Indonesia,-,"Programming Languages,iOS Development,React Native",https://glints.com/id/opportunities/jobs/ios-developer/56783763-bb75-4901-9c8f-833b2fc21647?utm_referrer=explore,56783763-bb75-4901-9c8f-833b2fc21647,contract,onsite,3-5,Sarjana,Mobile Development,iOS Developer,4/3/2024,Tanjung Priok, Jakarta Utara, DKI Jakarta
313,Full-Stack Developer,Pt Quanta Land Indonesia,-,"React.js,Angular.js,CSS3,Python,HTML5,JavaScript,Node.js,MongoDB,MySQL,PostgreSQL,PHP",https://glints.com/id/opportunities/jobs/full-stack-developer/1c25da2f-8ff0-497d-9b0d-536498ff1a49?utm_referrer=explore,1c25da2f-8ff0-497d-9b0d-536498ff1a49,full_time,onsite,1-3,Sarjana,Full Stack Development,Full Stack Developer,4/3/2024,Pinang, Tangerang, Banten
314,QA Tester,Permana Solution,"Rp5jt-Rp5,5jt","Quality Assurance,Quality Management,Software Quality Assurance",https://glints.com/id/opportunities/jobs/qa-tester/cd8da426-3f85-41cd-9fb9-941069849d8c?utm_referrer=explore,cd8da426-3f85-41cd-9fb9-941069849d8c,contract,onsite,1-3,Sarjana,QA & Software Testing,QA Tester,4/3/2024,Tanah Abang, Jakarta Pusat, DKI Jakarta
315,DWH Developer,Permana Solution,Rp7jt-Rp10jt,"Oracle Database,.NET,Microsoft SQL Server",https://glints.com/id/opportunities/jobs/dwh-developer/b59e9604-6e27-427c-8d1f-31e8c10e18f0?utm_referrer=explore,b59e9604-6e27-427c-8d1f-31e8c10e18f0,contract,onsite,3-5,Sarjana,"Network, System & Database Admin",Data Warehouse Developer,4/3/2024,Tanah Abang, Jakarta Pusat, DKI Jakarta
