job_title,company_name,job_location,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date
Frontend Developer - Internship,Peduly,"Genteng, Surabaya, Jawa Timur",Kerja di kantor,Not Written,"experience,logo,HTML5,React.js,TailwindCSS",https://glints.com/id/opportunities/jobs/frontend-developer-internship/fe770ace-585a-4cd8-86ad-73f691d4c10b?utm_referrer=explore,fe770ace-585a-4cd8-86ad-73f691d4c10b,internship,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Full stack/ Frontend,PT Adi Perdana Nusantara,"Senen, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp7jt-Rp9jt,"experience,salary,logo,Vuetify,Chrome Devtools,React.js,Ant Design,GIT,Vue.js",https://glints.com/id/opportunities/jobs/full-stack-frontend/65e21a2d-b255-4724-8698-cb8e784295e1?utm_referrer=explore,65e21a2d-b255-4724-8698-cb8e784295e1,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Programmer,2024-04-26
Senior Frontend Engineer,Hukumonline.com,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,Web Development,Software Development,Application Development",https://glints.com/id/opportunities/jobs/senior-frontend-engineer/abb45a4f-323c-49d9-9669-aa133c95bd84?utm_referrer=explore,abb45a4f-323c-49d9-9669-aa133c95bd84,full_time,Remote/Dari rumah,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer,2024-04-26
Frontend Developer Intern,Koneksi Group,"Sawangan, Depok, Jawa Barat",Kerja di kantor,"Rp1,5jt-Rp2,5jt","experience,salary,logo,CSS3,JavaScript,HTML5,PHP",https://glints.com/id/opportunities/jobs/frontend-developer-intern/ccc3e3f7-0935-4b63-b6fa-a51ceb3677f4?utm_referrer=explore,ccc3e3f7-0935-4b63-b6fa-a51ceb3677f4,internship,Kerja di kantor,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Others,Others,2024-04-26
Frontend / React Developer,PT Tonjoo Gagas Teknologi,"Babelan, Bekasi, Jawa Barat",Kerja di kantor,"Rp3jt-Rp4,5jt","experience,salary,logo,TailwindCSS,REST API,GIT,React.js,JavaScript",https://glints.com/id/opportunities/jobs/frontend-react-developer/b8c2b3ee-2729-4964-bf7a-86ac27121ac6?utm_referrer=explore,b8c2b3ee-2729-4964-bf7a-86ac27121ac6,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Software,Programmer,2024-04-26
Frontend Developer Intern,Seeds Finance,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,React.js,React Native,TailwindCSS,Axios,Next.js,TypeScript,Reddux",https://glints.com/id/opportunities/jobs/frontend-developer-intern/e5965586-4641-4eb0-a693-ac83796d6e87?utm_referrer=explore,e5965586-4641-4eb0-a693-ac83796d6e87,internship,Kerja di kantor,Kurang dari setahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Junior Frontend Engineer,PT Serikat Hantar Ekspedisi,"Penjaringan, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,CSS3,TypeScript,JavaScript,React.js,HTML5",https://glints.com/id/opportunities/jobs/junior-frontend-engineer/2b2a3fe3-4c49-4739-a209-72b9b24288ea?utm_referrer=explore,2b2a3fe3-4c49-4739-a209-72b9b24288ea,full_time,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer,2024-04-26
Senior Frontend Developer,PT Suitmedia Kreasi Indonesia,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,UX Design,CSS3,Vue.js,API Development,JavaScript,React.js,UI Design,Model-View-Controller (MVC),GIT,HTML5,Angular.js",https://glints.com/id/opportunities/jobs/senior-frontend-developer/d8e24264-b030-42d9-a5c9-559d68736437?utm_referrer=explore,d8e24264-b030-42d9-a5c9-559d68736437,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Developer (ERPNext),Pt Wowrack Indonesia,"Genteng, Surabaya, Jawa Timur",Kerja di kantor,Not Written,"experience,logo,Erpnext,Frappe,GIT,Frontend Development,CSS3,Project Management,ERP Software,JavaScript",https://glints.com/id/opportunities/jobs/frontend-developer-erpnext/256ebb5d-f6f2-455e-bea8-fd4c559af2d9?utm_referrer=explore,256ebb5d-f6f2-455e-bea8-fd4c559af2d9,full_time,Kerja di kantor,3 – 5 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Frontend Engineer Staff,Pt Ada Ide Langsung Jalan,"Lowokwaru, Malang, Jawa Timur",Kerja di kantor,"Rp4,2jt-Rp4,8jt","experience,salary,logo,Flutter,Critical Thinking,API Development",https://glints.com/id/opportunities/jobs/frontend-engineer-staff/5a7f8ae2-0d45-43cd-8b6e-a09d96c0db40?utm_referrer=explore,5a7f8ae2-0d45-43cd-8b6e-a09d96c0db40,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
