Role,Company Name,Location,Posted Date,Extracted Date,Key Skill,Experience,Job Description,More Detail
Data Analyst,Hexanika,Pune,4 days ago,2024-02-19,"test data  ,  sql queries  ,  testing  ,  sql",0 - 3 yrs,"Job Description: We are looking to hire a Data Analyst to join our data team. Your responsibility would include for developing reports ,  and troubleshooting data issues. To d...",https://www.timesjobs.com/job-detail/data-analyst-hexanika-pune-0-to-3-yrs-jobid-uV1krqn6UrlzpSvf__PLUS__uAgZw==&source=srp
data analyst.,Randstad MENA,Chennai,5 days ago,2024-02-19,"data extraction   ,   data analysis   ,   data filtering   ,   business intelligence   ,   programming   ,  reports  ,  bi  ,  sql  ,  coding  ,  technical requirements",6 - 9 yrs,"Job DetailsSummaryChennai ,  Tamil NaduA client of Randstad IndiaPermanentReference NumberJPC - 93894Job DetailsJD:Key AccountabilitiesResponsibilities will include but will n...",https://www.timesjobs.com/job-detail/data-analyst-randstad-mena-chennai-6-to-9-yrs-jobid-3jGleB3sAadzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,targray india pvt ltd,Gurgaon,6 days ago,2024-02-19,"data analysis   ,   ms sql   ,   python   ,   etl   ,   business analytics   ,  algorithms  ,  data mining  ,  bi  ,  storage  ,  xml  ,  mysql  ,  data structures  ,  computer application  ,  triggers  ,  written communication",3 - 6 yrs,"Company OverviewTargray - Building sustainable solutions for a world in transition.established in 1987 in Montreal ,  Canada ,  Targray is a global leader in the sourcing ,  t...",https://www.timesjobs.com/job-detail/data-analyst-targray-india-pvt-ltd-gurgaon-3-to-6-yrs-jobid-Pfmyl7DegG1zpSvf__PLUS__uAgZw==&source=srp
DATA ANALYST,mobileforce,Indonesia,5 days ago,2024-02-19,"website  ,  campaigns  ,  google analytics  ,  social media",0 - 3 yrs,"Data is our blood in MobileForce. We use various of digital data to find insights before ,  ongoing ,  and after we develop the digital platform. We need data geeks who are ab...",https://www.timesjobs.com/job-detail/data-analyst-mobileforce-indonesia-0-to-3-yrs-jobid-ui__PLUS__OIaW1O0VzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,netskope software pvt.ltd,Bengaluru / Bangalore,few days ago,2024-02-19,"data analysis  ,   customer satisfaction  ,   analytical development  ,   looker  ,   sql.   ,  communication  ,  communication skills  ,  employee recognition",4 - 7 yrs,"About Netskope Today ,  there's more data and users outside the enterprise than inside ,  causing the network perimeter as we know it to dissolve. We realized a new perimeter ...",https://www.timesjobs.com/job-detail/data-analyst-netskope-software-pvt-ltd-bengaluru-bangalore-4-to-7-yrs-jobid-EfRUb3g5fIZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,HyreFox Consultants,Jaipur,few days ago,2024-02-19,"excel  ,  reports  ,  reporting  ,  monthly reports",0 - 3 yrs,Must Have - Advance Excel Expertise Create business reports and process all data extracts and imports; ensuring accuracy and attention to detail at all times Collate and produ...,https://www.timesjobs.com/job-detail/data-analyst-hyrefox-consultants-jaipur-0-to-3-yrs-jobid-KwT1r6nTXxFzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,YuktaMedia LLP,Pune,few days ago,2024-02-19,"Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering",0 - 2 yrs,"Data AnalystJob ResponsibilitiesHands-on experience working on stored procedures ,  functions ,  cursors ,  etc.Hands-on experience working on creating indexes ,  triggers ,  ...",https://www.timesjobs.com/job-detail/data-analyst-yuktamedia-llp-pune-0-to-2-yrs-jobid-PZwH4yGnIwBzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SBM OFFSHORE,Bengaluru / Bangalore,few days ago,2024-02-19,"data analysis  ,   analytics  ,   python  ,   power bi  ,   visualization   ,  hive  ,  data extraction  ,  api  ,  oracle  ,  sas  ,  microsoft azure",3 - 5 yrs,"Data AnalystReq Id: 13333Job Family: Reporting  &  SupportLocation: Bangalore ,  IN ,  560071Our Vision.SBM Offshore believes the oceans will provide the world with safe ,  su...",https://www.timesjobs.com/job-detail/data-analyst-sbm-offshore-bengaluru-bangalore-3-to-5-yrs-jobid-XQmdvuNHkMJzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,ANZ GRINDLAYS BANK,Bengaluru / Bangalore,few days ago,2024-02-19,"data analysis   ,   reporting   ,   analytics   ,   stakeholder management   ,   hr data    ,  job posting  ,  recruitment process  ,  workforce  ,  communication skills",5 - 8 yrs,Data AnalystData AnalystReq ID: 57990Department: TT & C People AnalyticsDivision: Talent  &  CultureLocation: BengaluruAbout the roleAt ANZ our purpose is to shape a world whe...,https://www.timesjobs.com/job-detail/data-analyst-anz-grindlays-bank-bengaluru-bangalore-5-to-8-yrs-jobid-UIG__SLASH__UiBb71BzpSvf__PLUS__uAgZw==&source=srp
Data Analysts,kudosindia,Mumbai,few days ago,2024-02-19,"test cases  ,  database  ,  metrics  ,  component testing",0 - 3 yrs,Data AnalystsJob descriptionInterpret and analyze data to identify patterns and correlations among the various data points.mapping and tracing data from system to system in or...,https://www.timesjobs.com/job-detail/data-analysts-kudosindia-mumbai-0-to-3-yrs-jobid-v48SsInbeSRzpSvf__PLUS__uAgZw==&source=srp
